,stemmed,sentiment
7267,bilangin bang benci cuma numpang tenar kamu orang gitu karya coba liat channel saja video lowbudget semua kamera nokia orang kaya gitu usah anggap lah yakin kamu depan lebih baik salam,1
7268,cinta ericko lim,1
7269,dari dulu suka nonton vidiokamutapi saya suscribe wkwk,1
7270,doainkamusukses terus bang,1
7271,dulu suka sama kamu semenjak kamu ngehina youtuber laen sama orang pikir x unsubs aku kamu,1
7272,tidak peduli bang sama komenankamubang jujur tetep suka samakamuvang jujur apa ada suka suka hidup sendiri yg penting bahagia bang,1
7273,heran banyak yg bilang suka masih di tonton kalau suka tidak usah tonton,1
7274,kamu kerennn bggg hhhhh,1
7275,lebih baik benci banyak subcriber sama adsense naik bosss,1
7276,lebih suka chanel chanel yg sumpah yg unfaedah suka yg unfaedah,1
7277,lebih suka ericko lim jomblo,1
7278,sebenernya suka sama kamu bang sering toxic,1
7279,si suka sama kamu bang aku anggap kamu teman makanya aku hina kamu terus anjing fakta muka kamu gitu bngst,1
7280,gemar hidupp saabuuunnn,1
7281,subscribe ngrsa hibur suka subscribe baek saya ambil jlk abai yang jls saya nnton saya suka chnl yang saya tidak suka boro saya subscribe d tonton kagak,1
7282,subskamukarnakamumenghibur bang toxickamuitu pas waktu yg tepat kliatan hibur jujur jgk toxic pas di waktu yg tepat biar kliatan lucu terus upload unfaedah hankamubang,1
7283,subscribe kamu suka kalau kamu frontal never unsubs forever melettttttt,1
7284,subscribe kamu sblm m bang suka ama konspirasi kamu,1
7285,suka ah sama elu bangm gift sultan macam apa niih,1
7286,suka banget sma konten luu bang,1
7287,suka chanelkamubang broo,1
7288,suka chanelkamusemuaya lucu jangan dengerin apa kata orang ikutin ajah apa kata hatikamusob hehe ngeliat orang kocak lanjut bang erikolim,1
7289,suka edit kamu bang beneran dah,1
7290,suka gaya bang erick ayo hatter komentar sini awokawok,1
7291,suka gaya kamu bang,1
7292,suka gaya kamu nanggepin benci rick,1
7293,suka gayakamubang,1
7294,suka kamu kamu usak generasi bangsa woy ngomong kotor sopan youtuber suka miawaug ama jessnolimit,1
7295,suka kaos bang giveaway dong d,1
7296,suka bahasa tara s bro,1
7297,suka kontenkamubang,1
7298,sukakamurik supportkamuslow,1
7299,sukakamubang suka orange justice lu,1
7300,suka minum yaqul hahaha,1
7301,suka ngikutin tingkah laku kamu malah suka pangil rengkarnasinya ericko,1
7302,suka nonton videokamu kamu suka toxic kwkwkwkwk terus lah toxic bang,1
7303,suka pribadi soal cuman ken diri sendiri dengar komentar orang,1
7304,suka sama channel channel tutur kata sopan banget sangat mndidik tiap hari kasih nonton anak video erickolim kelak ank hati lembut sopan tutur kata kaya erickolim smoga anak kelak bsa sperti erickolim,1
7305,suka sama gayakamurik,1
7306,suka sama lho bangng bg,1
7307,suka toxid go go ericko lim,1
7308,tetep suport elu bang wkwkwk hidup sopers,1
7309,guasih ngedukungkamuaja bang sukses terus juta subscribe tahun iniii,1
7310,gud bank w suka,1
7311,gud rick makin sukses depan,1
7312,aku aku konten chanel emang faedah aku aku konten chanel didik aku muslim aku punya otak punya pikir punya akal punya nurani aku bukan org bodoh chanel aku jadi hibur bukan tiru yg ngehate blg erick bego dia sendiri bego kamu semua pikir kalau baik udah tidak usah tiru kapan indonesia bakal maju kalau rakyat masih bego dal komentar serah aku kalau aku mau subscribex erick,1
7313,aku muslim nyaman itu nonton channel lo,1
7314,aku tuju samakamubang suka usa lihat,1
7315,aku suka banget ama orang ini,1
7316,aku suka chanelnya bang sini hibur kocak buat stres ilang dikit hehe cuman suka hibur bang rkamudong kalau suka comment tiap videokamuaneh yah benci update bhuat comment arti tonton tertawa aku,1
7317,aku suka gayakamubang sangat asik kontenkamusangat hibur jangan peduliin omong orang yg bullykamukarena juga hakkamubang erick,1
7318,aku suka video channel sangat hibur semua aku tonton video skip manusia berfikir mana yg kita contoh yg patut kita contoh inti video ericko lim hibur viewers,1
7319,aku udah subscribe kali kurang baik apa aku,1
7320,guee soaperzssss sejati aaaaaaaaa hidup sabunnn,1
7321,guru sama yonglek noh kalau nyari benci buat ningkatin adsense a arap blum sahabat indah bocah suka ngikutin yg toxic biar sebut gaul malah cringe,1
7322,gusti farhan alfath dek bahasa jaga atuh etika agu ngeres baik benar benci ericko lim org yg ngeres cuma keluar kata yg baik kesel sama ericko lim ericko lim lah usak generasi buah buah minum normal ngeres contoh pisang susu awal pisang susu la cemilan normal gara gara ericko lim semua ubah dunia banyak org ngeres jadi benci ericko lim org yg kgk ngeres cuma ngomong kotor ericko lim sifat ngeres ibu ericko lim sesal ngelahirin ericko lim ericko lim masuk agama kristen pernah tobat dasar generasi sekarang kamu ericko lim tobat lah sekarang lambat,1
7323,aku bingung yah smua haterskamuupdate yah selalu komentar tiap youtubekamuerik jd arti subscriberkamudong kalau suka comment tiap videokamuaneh yah benci update bhuat comment arti tonton tertawa aku,1
7324,aku cuman bilang lol and mantap,1
7325,aku subskamurick aku tetep salut samakamuyang goyah sedikit meskikamubanyak haters banyak yg judgekamudankamutetep kekeh sama pendiriankamurick aku taukamuorangnya baik moral meski aku pernah f f samakamurick inti keep fighting rick wa sini misal minum kalau d tiru anak sini boleh atur,1
7326,aku bakal unsubskamubang aku suka konten lo,1
7327,aku lbih sukakkamuduet sama pacar lo,1
7328,aku lebih suka erikolim orang munafik ky mr o,1
7329,aku lebih suka kontenkamuyg dulu bang yg jadi pinki man tertawa,1
7330,aku malah sukakamukonten aneh njir wkwkw,1
7331,aku paling nggk suka liat orang ngemish like,1
7332,aku paling suka kalokamupake intro begitu wakakak,1
7333,aku saraninkamubuat part rick bagus ane,1
7334,aku selalu dukungkamubang ttp karya dari toxickamubisa buat cerca senyum saat lepas lelah,1
7335,aku subskamuric karnakamubeda kalau blakang kamera baik banget,1
7336,aku suka channelkamuericko lim,1
7337,aku suka elu elu munafik sok baik toxic toxic,1
7338,aku suka ericolim,1
7339,aku suka gayakamurick,1
7340,aku suka gayakamurikkkkk,1
7341,aku suka kontenkamurik,1
7342,aku suka kontenkamubang kontenkamubagi aku hibur banget terus karya buat konten baru doa aku moga chenelkamuberkembang rejekikamunambah,1
7343,aku suka koq sama bang erick,1
7344,aku suka liat kontenkamueriq biarpun ngak mutu entah aku suka,1
7345,aku suka nasehatkamubang rick pas akhir videogood luck bang rick,1
7346,aku suka sama erick oramgnya seru,1
7347,aku suka samakamubang oxic meski yg sensor emang gausah dipikirin omong si botak buat seru coeg,1
7348,aku suka sama ni chanel,1
7349,aku suka sama video ericko lim gantung kita skrng klok mnurut kalian baik iya udah tidak usah lakuin cukup toton buat fun lah cuma hibur bukan mengajarin soryy buka pihak ericko lim emng hibur aku sama video,1
7350,aku suka samakamubang tingkahkamugw suka idio openingkamuada di tambah buff gold keong awto cepet anjing,1
7351,aku sukak sama loo bg ada munak sama,1
7352,aku tetap dukungkamubang erico lim aku suka kalaukamutoxic tingkat walaupun benci banyak ngak usah pedulih,1
7353,gwe suka banget konten didik begini,1
7354,haahahaha bagus bang,1
7355,haha benci baik,1
7356,haha mantap,1
7357,haha manusia punya adab omong jaga bilang happy banget masalah disstrack arapnjadi trending eh nyanyiin pas panggung haha sehat lim,1
7358,hahaha hidup pantat tebal,1
7359,hahaha intro mantappp channel family friendly duniaaa,1
7360,hahahahah tetap semangat aku asal elu ngehina agama tetap aku suport pd buat youtube menertawakn agama dn kumpul haters semua yutub biadab alias munafik hiya hiya hiya ch belah tu biji yg suka bilang boo ong sukses buat youtube tahun bro,1
7361,hahhahaa baru suka ni anak hahhaa,1
7362,hai ericko benar fans banget sama lagu kamu bagus,1
7363,hai gais it s your boyz channell keren kece terhits indonesia,1
7364,hak mau suka enggak mana otak,1
7365,benci baik d,1
7366,benci cuma koar jelas bagus t,1
7367,benci bisa buat kata yg jelas hidup benci yg jelas,1
7368,benci hanya baik ada video,1
7369,benci cinta topi v,1
7370,benci kalok suka diem jangan kbnyakan komentar please stop making stupid people femous,1
7371,benci baik,1
7372,benci baik,1
7373,benci ma gitu bang eric maklumin aj padahal sendiri aj sempurna buat haterss jangan suka ngebully org sembarang kalau diri kamu aj urus kalau urus plngn org tua yg ngurusin,1
7374,benci ma jahat atu kalau baik,1
7375,benci membaraaaaaaaaaa olim ericko baik,1
7376,benci teman baik,1
7377,benci uangng nonton yg suka nonton,1
7378,benci gitu sibuk ngurus hidup orang,1
7379,hay bang ericko lim youtuber baik dunia uploud dong tutorial buat makan,1
7380,hebat kamu bang sabar sama komentar benci kamu,1
7381,hebatkamubang lelah upload tiap hari terus ngurusin youtube rewind sehat terusp anjing,1
7382,hei hei hei tayo hei tayo bis kecil ramah,1
7383,henti toxic ny pas puasa,1
7384,heran ama haterskamurick suka di tonton terus bnykan like pda dislike tampangkamubegini demen ua skip mamam noh haha klan dikit rick cuma aku skip,1
7385,hey benci kamu koment videoorg terus koment pgn tambah baik kamu sendiri koment ngegas negatif apa mau kamu gblok benci,1
7386,hhaha suka gaya kamu bang bau maksiat anjay,1
7387,hhhh udah bagus bagus ajak youtube rewind malah kaya gitu,1
7388,hhhhh w suka liatkamutoxic njir ngkak,1
7389,hidup benci,1
7390,hidup sudah susah,1
7391,hidup kadang sangat adill,1
7392,hidup kdamng sangat adil,1
7393,hidupkamupenuh bug,1
7394,hidup sabunnnn,1
7395,hidup sabuuun,1
7396,hidup leritivasi maju salam balilu rick beberapa persis banget konten njir di kasih cerah dia rick,1
7397,hipokritkamucoba ngatainkamujadinya cringekamugak berhasilkamucuma maluin,1
7398,hmmmm mantap djiwa,1
7399,how to basic mutu banyak yg suka smp subscribe jtaan,1
7400,how to basic video gitu byk yg suka bahkan org indo tapi eric yg parah how to basic judge sampe lebih how to basic,1
7401,ibuk pkk suka ngurusin urus org lg an yutub hibur bisnis suka lah asal sukses kalian kira smua org sama jalan hidup,1
7402,idup jangan dibwa pusing jalanin ygkamusuka kalau suka tinggalin susah,1
7403,ignore them just keep toxic ribe hak masing emang mw nonton apa kagak kalau go public sadar dong kalau semua orang akses berapa umur ama apa gender teknologi konsekuensi jaman kalau orang mental situ slalu jadiin ortu merhatiin anak scapegoat tpsitu terus produksi barang konten mulut kebun binatang terus nyalahin orang bebas individu apa salah tu logicnya o iya cari nyari duit rusak mental orang bawah umur buat nyari duit wajar emang mw orang tua tentara sekalipun kalau konten gin dibenahin ubah kalau hidup kota emang kejam situ usah ditularin ama anak mas ajar bagaimana rasa saling hormat dorong konten macam gin laku anak yg sembah situ besar mungkin ikutin situ indah kalau dibayangin jalan tempat umum terus bahasa anak njing babik goblok indah banget yusoaper selamat udah ngubah kultur ramah n sopan prestasi banget tu,1
7404,iklankamugak aku skip erick aku lebih suka iklan yg dichannel yucubkamulebih bervaedah iklan pada konten vidionya,1
7405,iklanlu menit aku skip tidur hebat aku,1
7406,saja intro bagus,1
7407,teladan waktu sperma yg suka like,1
7408,video yg paling gwe suka by the way buat pebeh bang,1
7409,aku suka erik banyak yang hate dia cuek malah benci tambah pasok uang anjirr,1
7410,yg aku suka lu,1
7411,instropeksi diri lah balesnya kasih solusi baik tiap njawab baper,1
7412,inti ericko lim orang lucu suka bilang k nt l anjinging lah masih tetap tahan dunia youtube,1
7413,intro lama terpaki kmbalintro baik seluruh jagad raya,1
7414,intro legend is backnten yg unfaedah justru yg aku suka video video lu,1
7415,intro mantapsss,1
7416,intro mantap,1
7417,intro paling aku suka sering sering bang buat intro gitu bang,1
7418,intro baik pernah v pernah liat yutub,1
7419,intro terbaikk rick,1
7420,intro terlegend intro mantap intro sejarah ngakaki baik,1
7421,intro yg suka,1
7422,intro yg paling aku suka,1
7423,introoo pling mantap,1
7424,iqbal gd cemar nama baik,1
7425,irfan coy jangan abai benci adsense,1
7426,channel unik o org terus koment pgn tambah baik kamu sendiri koment ngegas negatif apa mau kamu gblok benci,1
7427,awal mula yutuber suksess,1
7428,iya bangg aku suka banget sma konten kamu aku suka,1
7429,iya benar tau kapan orang indonesia suka ngambil sisi negatif banding sisi positif mungkin banyak anak anak suka ngelawan orang orang tua lebih tua diri yeah bukan maksud hina negara sendiri but yeah jujur memang sekarang zaman salah kaprah kalau memang masuk tanda tanda kiamat wallahualam,1
7430,iya benar manusia punya otak akal sehat,1
7431,iya cm mau ucapin selamat nikmat indah dunia,1
7432,iya lah erick kalau kamu laki kamu dateng rumah ngomong baik baik jangan lewat dm biar kesan sopan sedikitk eric,1
7433,diri sendiri lebih baik iyaiiyaiyahiyahh,1
7434,gaes kalau mau ngebuat gila tonton dulu channel akibat bisa tau misal konten ekstrem kamu liat dulu apa dilakuin bakal baik ato kalau yg dewasa erti lah mksd komentar aku apa,1
7435,jadiin laguu bagus komentar wkkwkw,1
7436,jalanin hidup bang,1
7437,jancokk wkwkwkg luar tentu lebih baik,1
7438,jangan kerja uang kerja senang rasa senang kerja bukan kau kejar uang tapu ulang lah kejar mu,1
7439,jangan dengerin rick kamu ituu hebat dahhh maju terusssssssss yaaaaaa,1
7440,jangan kalah sama orang yg suka ngejudgekamurick aku ttp supportkamumimpi aku cuma ken foto bareng sama kamu cuma kapan tetap semangt teladan,1
7441,jangan munafik erick kalau beneran niat kamu cuman hibur coba buat batas umur video kamu yg nontonin kamu anak yg notabene suka contoh apa liat peace love and skridipap pap awe awe,1
7442,jangan nilai orang luar tentu lebih baik,1
7443,jelas erick keren bilang keren wkwkwk gila kamu ndro,1
7444,jokes yangkamusajiin tidak cocok buat manusia manusia mereka rick mereka suka hai teman teman mulu kagak erti subtext yangkamusajiin balik jokes toxic lu,1
7445,jujur sih laku erick kolim yang lakulan saya bisa halang suatu jadi anggap yang di laku erick kolim bagai dunia fantasi saya keep smile,1
7446,jujur suka erick bukan konten tampan,1
7447,jujur klokamubilang dirikamuganteng aku tuju erick klokamubilangkamujauh lebih tampan si arap aku sangat tuju wkwkwkwkwkwkwkwkw,1
7448,jujur males baca komentar saya punya channel youtube ngapain baca komenan orang bagus bang erick buat dah baca baca komentar gin seru tertawa banyak sukak padahal mudah tinggal nonton aduh banyak tidak otak nonton gitu yawes fighting bang aku tau niat bang erick tidak buruk d,1
7449,jujur rick ngefans samakamubukan karnaakamugantengg yaa rick mukakamugada beda aspal empat jalan rick,1
7450,jujur tau channel gara gara temen ngehate erickolim eh saya malah subscribe,1
7451,jujur yaa se toxsic eric aku suka dy pura pura baik camera bahkan dunia peryoutubean semangattttt eric,1
7452,ka erick keren,1
7453,kadang bang benci suka ngaca kalau mau hujat orang contoh tadi yg bilang sok tampan terus aku pikir gin bang emg kamu tampan apa ampe ngatain orang sok tampan aku pen tertawa banget sama benci kamu bang yg pikir dulu kalau mau ngehujat alah benar balas sendiri makas salam ib,1
7454,kadang orang punya otak gapunya akal wkwk udeh tau gasuka saja tonton wkwkwkkw,1
7455,kalau akal sehat ganggu bagaimana bang,1
7456,kalau anak kecil bedain mana yg benar mana yg salah yg lihat pertama kali anggap keren pilih,1
7457,kalau banyak suka ericko lim ngapain lihat chanel tidak usah lihat chanelnya,1
7458,kalau suka usah nonton,1
7459,kalau sikamuitu hibur bang terkadang perlu yang gila kaya gin biar warna gitu hidup haha oang mantap bang buat konten yg lebih ngakak dong bang,1
7460,kalau benci suka jangan banyak ngomong usah tonton pake otakkamulahkamumau ngelaratin si erick tidak usah nonton chanelnya,1
7461,kalau kamu yg suka perlu liat wkwk,1
7462,kalau mau benci jangan banyak bacot yaudah usah subscribe jangan ngomongin orang intro dulu diri senduri baik buat orang kalau kalian benci mau ercol mau tutup chanel yaudah jangan tonton and subscribe,1
7463,kalau misal benci suka nga ushh tonton lah goblok buat apa yh malah bang erick dapet duittkin tertawa anjir,1
7464,kalau ngak suka,1
7465,kalau suka gausah tonton,1
7466,kalau suka sama bang erik unsub simple ajg sedia payung hujan sedia cermin ngomongin orang,1
7467,kalau suka usah nonton kalau nonton kepokmn hilang,1
7468,kalau suka usah nonton yg suka nonton,1
7469,kalau suka usah nonton orng banyak suka ngurusin hidup orng jangan heran haha,1
7470,kalau suka usah tonton anyinggg,1
7471,kalean ngehaters kurang kerjaaan kalau suka simpel usah tonton,1
7472,kalian yg kebully erick jg tntu kalian lebih baik erick kalian iri sama erick,1
7473,kalm erick jangan tanggaepin komentar gitu mah banyak baik suka ama kamu,1
7474,kalau baik nama gemar,1
7475,kalau suka usah tonton,1
7476,kalau suka gausaaahh tonton semudahh ituu,1
7477,kalau suka chanel bang ericolim jangan tonton tai,1
7478,kalau suka gausah tonton kon ng tuju likeee,1
7479,kalau suka sama ericko lim gausah gausah bully bully masih banyak hibur sama konten diakamupada sirik umur ericko hasil,1
7480,kalau suka gausa subscribe sama buly makin byk yg buly masin sukses anjing liat bowo udah jd entertain anjing ada tv mana anjing malesnya w buly orng kalau canda sama temen beda lg,1
7481,kalau suka ush nntn,1
7482,kalau suka tidak usah ditontoon,1
7483,kalau benci baik nama apa,1
7484,kalau benci baik nama hebaters,1
7485,kalok suka usah toton,1
7486,kamu baik emang,1
7487,kamu hebat ngadepin benci bro,1
7488,kamu keren rick mantap,1
7489,kamu malaikat apa adanyaa aku suka kamu apa suka ngetoxic sgala ttng kamu punya urat malu,1
7490,kamu sok keren,1
7491,kamu suka tinggal nonton kamu suka usah nnton simple as that but,1
7492,kamu tau kalau konten kamu yg ngk patut tayang emang benar semua gantung orang filter mana yg salah mana yg benar apasalahnya gitu buat konten baikbaik boong kalau kamu ngk ngerasa suatu yg salah bagai creator yg punya subscribe banyak udah tangung jawab kamu beri konten yg manfaatnyala subscriber kamu emang aku tau duit goda banget pliss jangan mikirin diri sendiri bro,1
7493,kangen intro hidup sangat adil punya tampang kurang perut lebih,1
7494,kangen intro yg hidup kadang sangat adil,1
7495,karya terus bang bodo orang mau komentar apa elu bang penting kamu kaya wkwk wish u all the best banglo suka suka tinggal gantung masing aku hibur channel kamu aku ambil lucu heheh,1
7496,kata aku benci bagus adesens,1
7497,kata dylen erico baik dya toxic cuma kamera cuma buat hibur kalian,1
7498,kata kata savage semua rtikaian ada sesi baku hantam saling lempar benda tajam senang bukan,1
7499,katakamubang nyampek tulang kerennyaka nonton uang youtube bisakamujajanin,1
7500,kau tetap toxic ericko jadi diri sendiri benci become your money,1
7501,kau terbaikk limm battt,1
7502,keep toxic yg penting tetep kualitas bang jangan kaya kemarin video gaje iran seni jernih sehat gakusah nonton please,1
7503,saya suka ericko lim,1
7504,ya bang benci gaada yg baik p,1
7505,keren,1
7506,keren anjay,1
7507,keren anjir semangat suhu,1
7508,keren bang,1
7509,keren bang banyak orang berani jujur youtube lanjut biar hilangin ngantuk,1
7510,keren bang buat plzzzz,1
7511,keren bang chanel hilang stresss,1
7512,keren bang intro legen,1
7513,keren bang kamu jawab buat aku banyak dosa wkwkw,1
7514,keren bang talu kuat banget terus juang wahai anak muda,1
7515,keren bang wkwkwk tetep dalem diri bang rasi kamu,1
7516,keren bro,1
7517,keren broo semangat bro akhir darah,1
7518,keren chenel,1
7519,keren,1
7520,keren hahha keren wow,1
7521,keren kamu bang good buat kamu,1
7522,keren lim emangkamuthe best diemin heaters goblok salut sama tanggapankamuke mereka maku teruus,1
7523,kerenkamubang,1
7524,kerenkamubang ericko limn ericko lim aku haru,1
7525,keren rick the best buat erikolim,1
7526,keren simamang,1
7527,keritikal yah orang indonesia sampe yg punya akun benernya hahhhahaha banyak beli mie micinnya doang yg makan kkwkwkwkwk mas bahasa manusia milik diri masing yg ngikut bahasa eriko bocah yg nyaring kata inti niat kamu baik buat hibur subcriberlu d,1
7528,simpul knp benci yg suka erikolim kalau ketemu si erik minta poto,1
7529,kalau banyak yg suka tiap video banyak like,1
7530,kalau emng hebat unsubs,1
7531,kalau suka tidak ush nntn simple,1
7532,knp aku subscribe kamu bang ngomong kamu kamera emng gin aku dengar kopex kamu baik bet orang,1
7533,akhir ceramah,1
7534,inter masa masa hidup sangat adil,1
7535,komentar benci jadiin lagu bang keren kayak wkekeke,1
7536,kopi mantap,1
7537,kreatif bobot kelas you r the kingd,1
7538,kwkwkw benci mah gin suka malah tonton anjay,1
7539,kwwkw mantap benci tebar nyinyir mulu tnggal ush d tonton kok repot channel gin aku lucu iya ngehibur iya terus apa salah orng mau buat kontenkalo suka sma konten yakamubuat channel sndiri susah ama boong hiya hiya hiya,1
7540,lah mantap erick trigger halus,1
7541,lakuin apa yg kamu mau erick jangan dengar apa kata kalau nuntut mau selesai ini hidup kamu suka suka tinggal gantung masing aku hibur channel kamu aku ambil lucu heheh,1
7542,laku apa ygkamusuka fighting,1
7543,lanjodd broo aku tuju kalau suka yah jangan tonton gt ribet hahaha,1
7544,lanjut bang aku suka liat video kamu mantap duit deh,1
7545,lanjutin bang suka cara ngebales hate comments,1
7546,lanjut mantap suka kontenkamukarna mirip rowan atkinson walaupun sbenarnya pinter mau jdi actor goblok hibur nice lanjut,1
7547,lebih suka chanel chanel yg sumpah yg unfaedah suka yg unfaedah,1
7548,lidah kamu bagus bang,1
7549,like erick aku suka pikir lu,1
7550,lim hahah keren bang,1
7551,lim kamu kalau ngomong nyelon baru bagus,1
7552,lo bilang orang punya otak mana yg baik contoh mna yg,1
7553,lo ngehujat erico lim tambah sukses lebih baik support supaya erico lim lebih baik,1
7554,lu beda ama yg laen jdi aku suka,1
7555,lu bilang takut anak kecil ikutin dankamubilang masing masing punya akal sehat mana yg baik mana yg burukkamugak pikir nama anak kecil,1
7556,lu tampan bang ngapain benci buhunginkamusama arap lagi tau mungkin siapa salahemg org suka kontenkamuga perlukamusuruh org subscribe,1
7557,lu pinter banget rick lawan benci aku suka ama omong lu,1
7558,lu udah gila erik mendingkamumati jangan hidup lagikamumau kalokamuhidup dibuli banyak benci terus mendingkamumati teruskamungasih aku chanel didik lo,1
7559,lucu asli mantap mantap,1
7560,lupain benci bang tonton setiakamugua suka kontenkamukarenakamuniatnya ngehibur kalau kalian benci kagak suka lebih baik pergi saya gemar,1
7561,maaf bg jgan agama saran teroris krna ngarah kesna banyak contoh kyak kemarin aku supportkamusukses yt rewind,1
7562,maju terus broo aku ska gaya lue aku suka konten kamu ttep karya,1
7563,makan benci duit haram semua agama larang makan duit haram by the way aku ambil pusing spongebob warna kuning suka warna kuning,1
7564,makan malam baik keluarga,1
7565,makanya otak tu dipake pikir dulu kalau ngomong jangan cuma ajar ngomong kasar arap doang kamu ngomong kamu sendiri beda cuma duit elu kagak manusia kamu suka munafik,1
7566,makin banyak benci makin bantak nonton dah share biar tambah hate bagus bang biar banyak nonton kwkwkwk,1
7567,makin banyak benci makin kaya ng penting buat rugi kalian buat rugi buat lelah kalian sndiri hujat orang penting bisa telaah mana yg baik mana yg ericko karya apa ada real munafik main setting an,1
7568,maklum bang nama indonesia orng banyak suka ngurusin hidup orng jangan heran haha,1
7569,mana benci baik woy erickontoru,1
7570,mana hatersnya baik,1
7571,mantab bang bagus sabar ngadepin benci go blog,1
7572,mantap,1
7573,mantap aku so tertawa lah,1
7574,mantap aku suka cara kamu,1
7575,mantap auto subscribe,1
7576,mantap bang,1
7577,mantap bang biar gerred hatter bangsat,1
7578,mantap bang erick,1
7579,mantap bang ericontlo semangat buat dislike vidiomu,1
7580,mantap bang erikbiar adsense terus,1
7581,mantap bang nonton masa depan,1
7582,mantap bang jangan didenger benci mah emg gitu supportkamuterus men,1
7583,mantap bang kurang duit gampang tinggalll upload kontent sembarang hari bummm haaa,1
7584,mantap bang lanjut baca hate comment,1
7585,mantap bang s,1
7586,mantap bang wkwkwk,1
7587,mantap bangg,1
7588,mantap benar intro,1
7589,mantap karya terus good job erick wahahaha pembencikamukerenkamumantap nonton tidak lama erick saya kasihkamulike erick konkolim,1
7590,mantap bg,1
7591,mantap bosque,1
7592,mantap bro,1
7593,mantap bujankkk video ada iklan,1
7594,mantap bully teroosss kalian yg ngebuly sadar youtuber susah erikcolim udah kata kata nya toxic sekarang liat derita kalau di umum mungkin banyak yg ngomonginicko the real king,1
7595,mantap channellu bang,1
7596,mantap coegnya erick anak haram hahahah,1
7597,mantap komentar for money,1
7598,mantap fans tertunday,1
7599,mantap gan,1
7600,mantap gayn,1
7601,mantap gpp bang kamu dibicarain tetap semangat,1
7602,mantap intro legend,1
7603,mantap intro,1
7604,mantap k,1
7605,mantap kali,1
7606,mantap kali bang,1
7607,mantap kali buat benci tambah panas bakar jenggot,1
7608,mantap l mu nonton kim tiap hari,1
7609,mantap lah,1
7610,mantap limmmm dukungkamuslamanw rindu pas subscribernya kan,1
7611,mantap mamang,1
7612,mantap mamank,1
7613,mantap mantap,1
7614,mantap mantap bang eriko keren,1
7615,mantap dukung dengan gaya toxic lanjut karya mu nakg online terus,1
7616,mantap mhank,1
7617,mantap njenk,1
7618,mantap njing toxic everyday suport buatkamuanjinkk terus karya terus toxic budaya support lah njingonte pepek mama kalian kena kentot kepiting,1
7619,mantap pak eko lim hahaha,1
7620,mantap rek,1
7621,mantap rick dukung kamu,1
7622,mantap erick,1
7623,mantap erick lanjut wkw,1
7624,mantap erick sumber uangminta kenal,1
7625,mantap semangat bng,1
7626,mantap tetep aku dukungkamurik semangat dong buat video jangan kayak buk lalukamujarang buat video,1
7627,mantap tod terus benci bonus uang,1
7628,mantap toxicnya kurang,1
7629,mantap youtube memang seperti uk on hati cuman buat have fun,1
7630,mantapp aku tertawa liatnyal satu video biar buat ketawa wkwkwkwk,1
7631,mantapp lanjutkann sukses terus bang erikontolim wkwk eh salah eriko limbad recehh wkwk,1
7632,mantapp manis ala bg kolim,1
7633,mantappp ericko limn ericko lim aku haru,1
7634,mantapppp,1
7635,mantapppppp,1
7636,mantappppppppppppppppp kata benci bahas family friendlang gitu karya coba liat channel saja video lowbudget semua kamera nokia orang kaya gitu usah anggap lah yakin kamu depan lebih baik salam,1
7637,mantaps bang,1
7638,mantul bro aku tonton baru yg udah ngikutin videolama baru kamu jujur aku suka lagu diss kamu arap skrg kamu masuk videoyg aku tgu jelasin terang terang ni channel isi apa,1
7639,mantul kak lim w support kamu bang konten sangat mutu ku hibur bet kak wkwkwk coba buat konten buat pisang nugget donat indomie keren kak lim ekekwk,1
7640,mantul mantap betul,1
7641,manusia sampah hidup parasit dimna mana,1
7642,mau punya wajah bersih indah biar istri suami mantan pacar mantan istri mantan suami calon pacar mantan calon pacar temen ibu temen bapak temen bapak mantan siapa itu lah kagum kagum sama wajah kamu pake masker spirulina spirulina maskr nanti biar kinclong whehehe mantul,1
7643,memang si heaters untung sama kaya temen temen aku yg suka ngomongin kamu akhir aku penasaran aku liat chanel kamu ehh bnr aje unfaedah,1
7644,memotivasimacamhiduppalinginovasi,1
7645,lebih baik raper bang gwa suka karya musikkamuv,1
7646,menit yang aku sukao lapor,1
7647,saya apa yangkamuanggap yang baik laku bang selagikamumasih hidup kontol hidup cuma bro di tv mana anjing malesnya w buly orng kalau canda sama temen beda lg,1
7648,saya negative positif manusia punya otak akal sehat negative lama negative alam negative justru bawa ke hal positif lama salah selalu salah tidak lama yang benar selalu benar,1
7649,aku chanel kocak tertawa napa sewot kalau suka usah liat lah,1
7650,pikir sya coba sedikit harga karya orang jika ingin harga bajar harga bang erick tau konten yg bikin baik buruk kembali semua diri apakah kita harus contoh ayo kalian semua punya otak gunain baik chanel bang erick niat hibur doank kalau kata kasar dalam yasudahlah itu hak chanel juga ingat satu kita bagai tonton bukan sutradara harus atur hidup orang kalau kalian heater rasa hebat knpa tidak buat chanel youtube ajah yg kalian baik yang akhir pesan untuk teman youtube kenal lebih diri baru nilai hal,1
7651,meski toxic we suka we toxic h h,1
7652,mobil motor mantap horror semua,1
7653,monggoh mampir channel yg suka music metalcore deathcore gaming unfaedah monggoh siap subscribe balik gan,1
7654,motivasi ni sukakkamubag erickolim,1
7655,mudah mudah ericko triliyun suscriber kaya kak regi ylutuber aku suka,1
7656,muka tampan aku keren aku se sexy aku masa aku bilang tampan kamu gilaaa,1
