stemmed,sentiment,labeling,filtered,cekTF-IDF
wkwkw kagak tau lucu si erick hatersnya,1,tidak kasar,,tidak ada
wkwkw ad benci becanda plus tular toxic ny erick,1,tidak kasar,,tidak ada
wkwkw yg komentar gituan bocah bng ngurusi kompor orang,1,tidak kasar,,tidak ada
wkwkwk,1,tidak kasar,,tidak ada
wkwkwk tencana tempur qory gore vs erickolim wkwk hibur,1,tidak kasar,,tidak ada
wkwkwk ni anak yg duit,1,tidak kasar,,tidak ada
wkwkwk ajg subscriber beli dimanaa beli rick,1,tidak kasar,,tidak ada
wkwkwk ngehate doang iri,1,tidak kasar,,tidak ada
wkwkwk komentar ngatain si erick ketemu foto fuck munafik haters,-1,kasar,munafik,ada
wkwkwk ericko jawapan hatersa tonton gwndir ade ade rapyourbae,1,tidak kasar,,tidak ada
wkwkwk erickolim manusia udah kaya cat nipon paint tahan ujan badai salah buli erickolim wkwkwkwk erickolim,1,tidak kasar,,tidak ada
wkwkwk tampan,1,tidak kasar,,tidak ada
wkwkwk gaya ericko emang mantul gada obat,1,tidak kasar,,tidak ada
wkwkwk gila benci,-1,kasar,gila,ada
wkwkwk subscribe rb bang,1,tidak kasar,,tidak ada
wkwkwk benci goblok smua,-1,kasar,goblok,ada
wkwkwk i love the king soap mmmuuahhh u dengar lagu thailand wik wik wik,1,tidak kasar,,tidak ada
wkwkwk intro pake lagirs plus foto profil wa ericko lim,1,tidak kasar,,tidak ada
wkwkwk sebenernya gemar komentar cuman ken komennya masuk yt,1,tidak kasar,,tidak ada
wkwkwk lucu banget kintil demen toxic loo,1,tidak kasar,,tidak ada
wkwkwk lucu eaters cenel,1,tidak kasar,,tidak ada
wkwkwk lucu ya baca komenan haterskamubang bocah micin tulang bus dna,1,tidak kasar,,tidak ada
wkwkwk nfakak,1,tidak kasar,,tidak ada
wkwkwk tertawa,1,tidak kasar,,tidak ada
wkwkwk tertawa emang suka ngapain nonton benci duit didik tu anjing,-1,kasar,anjing,ada
wkwkwk ngapain ngebully erick,1,tidak kasar,,tidak ada
wkwkwk kentot bang erick,1,tidak kasar,,tidak ada
wkwkwk sabar bang lucu,1,tidak kasar,,tidak ada
wkwkwk saveg,1,tidak kasar,,tidak ada
wkwkwk tertawa anjir,1,kasar,anjir,ada
wkwkwk tertawa jirr,1,tidak kasar,,tidak ada
wkwkwk,1,tidak kasar,,tidak ada
wkwkwk wanjierr,1,tidak kasar,,tidak ada
wkwkwk yg dibacain komennya auto ganti nama yt,1,tidak kasar,,tidak ada
wkwkwke,1,tidak kasar,,tidak ada
wkwkwkk selow in bg,1,tidak kasar,,tidak ada
wkwkwkkw subscribe bilang beli buset hahaha,1,tidak kasar,,tidak ada
wkwkwkkw tertawa liat ny,1,tidak kasar,,tidak ada
wkwkwkkwkwwkwkwkwkwkwkkwkwkw,1,tidak kasar,,tidak ada
wkwkwkkwwk kentod,1,tidak kasar,,tidak ada
hahaha,1,tidak kasar,,tidak ada
hahaha anjing tertawa w ma komenan benci,1,kasar,anjing,ada
hahaha berakkk kebon anjir,1,kasar,anjir,ada
hahaha berakkk kebon anjir,1,kasar,anjir,ada
hahaha bngst,1,tidak kasar,,tidak ada
hahaha benci,1,tidak kasar,,tidak ada
hahaha kamvret hahaha,1,tidak kasar,,tidak ada
hahaha tertawa kontol ol,1,kasar,kontol,ada
hahaha sma broo,1,tidak kasar,,tidak ada
hahaha tertawa bocah jual agama,1,tidak kasar,,tidak ada
wkwkwkwk,1,tidak kasar,,tidak ada
wkwkwkwk iklan anjing but cool reading benci comments ick kemarin gbk andddd satpam nanya halo selamat siang acara yutuprewind yak ohh iya bro dah selesai bro acara lelah gbk acara ytrwn selesai janji rick ketemu luh nampar luh kenceng tenanga salam kenal bro erick ramadan see you motherfucker,-1,kasar,anjing,ada
wkwkwkwk chanel ni ketawa o goblok,-1,kasar,goblok,ada
wkwkwkwk haternya fans arab,1,tidak kasar,,tidak ada
wkwkwkwk i love you ericko lim,1,tidak kasar,,tidak ada
wkwkwkwk intro nyaa lerr ninggalin,1,tidak kasar,,tidak ada
wkwkwkwk kadal,1,tidak kasar,,tidak ada
wkwkwkwk suci penuh dosa,-1,kasar,dosa,ada
wkwkwkwk kembang bakatkamuerik,1,tidak kasar,,tidak ada
wkwkwkwk salam gemar,1,tidak kasar,,tidak ada
wkwkwkwk tertawa,1,tidak kasar,,tidak ada
wkwkwkwk tertawa anjing,1,kasar,anjing,ada
wkwkwkwk tertawa anjing,1,kasar,anjing,ada
wkwkwkwkw ceramah mode on hahaha hate komentar semangat dah ye erick moga moga rezeki subscribers biar nyusul channel semangat,1,tidak kasar,,tidak ada
wkwkwkwkw benci lul,1,tidak kasar,,tidak ada
wkwkwkwkw kocak ajg,1,tidak kasar,,tidak ada
wkwkwkwkwk benci benci emang gitu diao ku subscribe jd tau haterss fans nonton tantang gitu toxic gilaa jd was pas dengar boskus,1,tidak kasar,,tidak ada
wkwkwkwkwksabar bansitu juha selubung benci orang sirik jhahaha rangin toxic kontol,-1,kasar,kontol,ada
wkwkwkwkwkwk anak kontl like,1,tidak kasar,,tidak ada
wkwkwkwkwkwkwkwk tertawa bang baca comment haterkamugua,1,tidak kasar,,tidak ada
wkwkwkwwk toxicnya,1,tidak kasar,,tidak ada
wkwwk taikamumenghibar hibur gosah bullshit la memeq yt duit,-1,tidak kasar,,tidak ada
wkwwkkw tertawa,1,tidak kasar,,tidak ada
wkwwkkwwk erick erick stiap kontenkamupasti tertawa a human absurd wkwkwk,1,tidak kasar,,tidak ada
wkwwkw,1,tidak kasar,,tidak ada
wlwkwwk how to basic tanding bang ekwkwk,1,tidak kasar,,tidak ada
woe kau kepala zakar,1,tidak kasar,,tidak ada
woe bilang erickolim beli subscriber dukung,1,tidak kasar,,tidak ada
woe ericko lim udah kentot,1,tidak kasar,,tidak ada
woe video maem jembuts komenny blg juta botak,1,tidak kasar,,tidak ada
woi ajg reza arap gbk,1,tidak kasar,,tidak ada
woi ajing ngntot anjing ngenantang fens erickolim,1,kasar,anjing,ada
woi anak anjing channel family friendly channel agama bilang sampah wkwkwkwkwk,-1,kasar,anjing sampah,ada
woi anjgkamubilang pngn konten baca komentar heaters komentar gwa pngnkamubaca anjing wkwkwks,1,kasar,anjing,ada
woi bang tidur malem,1,tidak kasar,,tidak ada
woi botak,1,tidak kasar,,tidak ada
woi botak njing,1,tidak kasar,,tidak ada
woi channel berdaedah nonton mancing kau,1,tidak kasar,,tidak ada
woi eric tod lim maen pulogadung,1,tidak kasar,,tidak ada
woi goblok pantau anjinkkk,-1,kasar,goblok,ada
woi bain eric komentar hate biar biat konten,1,tidak kasar,,tidak ada
woi jwb,1,tidak kasar,,tidak ada
woi the jak bang sat,1,tidak kasar,,tidak ada
woi kontol liat gatot kaca nenen layla njieng,1,kasar,kontol,ada
woi kontol videokamuitu iklan durasi iklan menit skipp kntll,1,kasar,kontol,ada
woi kontol suka banget videokamuyg nonton iklankamuga skip anjenk tetep semangat njink video yg faedah i luv u bitch,-1,kasar,kontol,ada
woi liat subscribe pewdiepie,1,tidak kasar,,tidak ada
woi qmak botak,1,tidak kasar,,tidak ada
woi era digital ngapain ngemanfaatin goblok emang ngajak youtube nyamperin langsung senior pikir goblok ig wa fb tweet mudah komunikasi anjing youtube udah lakuin lakuin goblok,-1,kasar,goblok goblok anjing goblok,ada
woi tobat ericko lim takut dosa bilang chanel friendly family,-1,kasar,dosa,ada
woii anjing kaget bngst pake headset,1,kasar,anjing,ada
woii rickk nonton videokamu kga skip truss pass ending w tonton ampe abiss njing kaya bngst hahahaahahah,1,tidak kasar,,tidak ada
woiii collab arap,1,tidak kasar,,tidak ada
wokwokwowkok tertawa so hard funny jink haterskamukebanyakan omong suruh heatkamucoli jam smpe taun,1,tidak kasar,,tidak ada
wokwowkwok bangsat,1,kasar,bangsat,ada
woooo emangkamudoang bang youtubers pantat tebal,1,kasar,pantat,ada
wooui,1,tidak kasar,,tidak ada
work hard pray hard,1,tidak kasar,,tidak ada
wow,1,tidak kasar,,tidak ada
wow,1,tidak kasar,,tidak ada
wow intro siappp,1,tidak kasar,,tidak ada
wow laku wkwkwk,1,tidak kasar,,tidak ada
wow rb like,1,tidak kasar,,tidak ada
wow video faedah,1,tidak kasar,,tidak ada
wowkwowk makasih ama benci dah bantu konten u,1,tidak kasar,,tidak ada
wowowowo erikonolimitpros,1,tidak kasar,,tidak ada
wowww,1,tidak kasar,,tidak ada
wowwwwwwwwwwwwwwwwooooooooooooooowwwwww,1,tidak kasar,,tidak ada
woy,1,tidak kasar,,tidak ada
woy,1,tidak kasar,,tidak ada
woy asu babyk kentod baju assc gratis bayar bangsat,1,kasar,bangsat,ada
woy baca comen bang tau duit sukur nambah subscribe,1,tidak kasar,,tidak ada
woy bales anak depok kuat dibales,1,tidak kasar,,tidak ada
woy bangsad nungguin gp anjing,1,kasar,anjing,ada
woy erikolim muka kaya peler puki,1,tidak kasar,,tidak ada
woy first apresiasi,1,tidak kasar,,tidak ada
woy benci kasih tau ceramah tod ceramah pake bawa agama lg,1,tidak kasar,,tidak ada
woy benci anjing suka tonton mah nonton erick neng neng doang tau yg salah,-1,kasar,anjing,ada
woy benci ngurusin hidup orang ajh urus ajh kelar jinggg,1,tidak kasar,,tidak ada
woy bully subscriber,1,tidak kasar,,tidak ada
woy dibully video hibur toxic kamera asli toxic toxic meghibur,1,tidak kasar,,tidak ada
woy janjikamumana tod mao botak juta subscribe kymackkk,1,tidak kasar,,tidak ada
woy motivasi cepetan apus tu canel,1,tidak kasar,,tidak ada
woy yg akun pb strike cn erikolim y bkn islam skali kali hina islam,-1,kasar,hina,ada
woy mati,1,tidak kasar,,tidak ada
woy kintol memax injang bangsit jav hd porn masukin,1,tidak kasar,,tidak ada
woy kontol pake opening dora the explorer aa hiyyaaa,1,kasar,kontol,ada
woykamuanjeng tuju subsccribe suka ama konten bangsat suka ngapaon tonton kentot bang ericko tuju ngehibur tod ngapainkamusubscribe gasuka ama konten bangsat kena trigger dah,-1,kasar,bangsat bangsat,ada
woy dapet benci fens tunda dapet hah om rx,1,tidak kasar,,tidak ada
woy kentot botak baca komentar goblok,-1,kasar,goblok,ada
woy njink mendingkamubikin konten minumin racun tikus,1,tidak kasar,,tidak ada
woy ngeledek org kebal,1,tidak kasar,,tidak ada
woy rick drama chanel ku lgii,1,tidak kasar,,tidak ada
woy tod juta subscribe dibotakin rambut,1,tidak kasar,,tidak ada
woy tombol sharenya bangsat,1,kasar,bangsat,ada
woy toxixkamugg bang miss eric jaman old,1,tidak kasar,,tidak ada
woyy brooww chanell didik,1,tidak kasar,,tidak ada
woyy ktanya juta subscribe botak omdo,1,tidak kasar,,tidak ada
wtf,1,tidak kasar,,tidak ada
wtf moment,1,tidak kasar,,tidak ada
wtf my president,1,tidak kasar,,tidak ada
wuhhuu iklan twice nonton komenya,1,tidak kasar,,tidak ada
wwkwkkw orang indo goblok y tertawa,-1,kasar,goblok,ada
wwkwkwkwk,1,tidak kasar,,tidak ada
x,1,tidak kasar,,tidak ada
x tonton like rbu gemar is the best,1,tidak kasar,,tidak ada
x tonton,1,tidak kasar,,tidak ada
x tonton comment,1,tidak kasar,,tidak ada
x tonton ngelike,1,tidak kasar,,tidak ada
x viewers k like a,1,tidak kasar,,tidak ada
y,1,tidak kasar,,tidak ada
y channel unfaedah subscriber laku gila erick,-1,kasar,gila,ada
otak mah mi yg yg buruk,1,tidak kasar,,tidak ada
tuhan,1,tidak kasar,,tidak ada
penontonkamubocah ngentott gi tau yg slah yg,1,tidak kasar,,tidak ada
bahasa luarkamujangan bawa video youtube tonton anak dewasa makan orang neng samakamukarena bahasakamukalo video si hibur bahasa gapantes,1,tidak kasar,,tidak ada
serah bang erick repot ngurusin emangkamudibayar urusin benci,1,tidak kasar,,tidak ada
udah benci biarkamudpt uang,1,tidak kasar,,tidak ada
ya,1,tidak kasar,,tidak ada
yaa,1,tidak kasar,,tidak ada
yaa erick benci mu kaum kaum roket wakwkakw,1,tidak kasar,,tidak ada
yaa inti mah cuekin ae bang anggep fans tunda,1,tidak kasar,,tidak ada
yaa santai ngntt,1,tidak kasar,,tidak ada
yaelah,1,tidak kasar,,tidak ada
yaelah wkwkwk,1,tidak kasar,,tidak ada
yah ane tinggal,1,tidak kasar,,tidak ada
yah bangkamuberarti ngeyt cuman cari duit cari musuh,1,tidak kasar,,tidak ada
yah elah elu konten tepok jidat,1,tidak kasar,,tidak ada
yah gemar,1,tidak kasar,,tidak ada
yah seru coba liat poto ig roast balikk,1,tidak kasar,,tidak ada
yah detik g jdi subscribe ye wkkwkw,1,tidak kasar,,tidak ada
yah nama macan sosmed bang,1,tidak kasar,,tidak ada
yahaha konten liat tertawa anjing hahaha brader,1,kasar,anjing,ada
yahh intro jess pake d,1,tidak kasar,,tidak ada
yahh pencet tombol skip,1,tidak kasar,,tidak ada
yahh ngelike sampah,-1,kasar,sampah,ada
yak elah bang akmj promosi,1,tidak kasar,,tidak ada
yakinkamuanak ubah tanggal lahir email,1,tidak kasar,,tidak ada
yakk kangen intro jess no limit versi ericko lim jam,1,tidak kasar,,tidak ada
yakult,1,tidak kasar,,tidak ada
yakult bangsad,1,tidak kasar,,tidak ada
yall waste ur time to hated this man just shut the hell mouth,1,tidak kasar,,tidak ada
yamette senpai dame,1,tidak kasar,,tidak ada
heran kontenkamugaadak isi faedah yg subscribe yg subscribekamuotak udah miri kentot,-1,tidak kasar,,tidak ada
baca komentar like,1,tidak kasar,,tidak ada
sok taukamuotak teri,1,tidak kasar,,tidak ada
bilang beli subscribe mah otak rick,1,tidak kasar,,tidak ada
bilang heaters fuck heaters aaaaaaaaaaa,1,tidak kasar,,tidak ada
bilang video eric faedah lihat channel how to basic faedah manfaat,1,tidak kasar,,tidak ada
comen anak rapstronot nya deokamuv,1,tidak kasar,,tidak ada
tu orang maluuu,1,tidak kasar,,tidak ada
dislike benci,1,tidak kasar,,tidak ada
dislike benci v,1,tidak kasar,,tidak ada
skip iklan a benci,1,tidak kasar,,tidak ada
gasuka ama erick kontol gausa bacot dikommentkamucuma unsub lapor yg gitu miskin,-1,kasar,kontol bacot miskin,ada
gin didik,1,tidak kasar,,tidak ada
bingung heterskamubilang konten videotidak faedah mutu ujung liat konten videolu,1,tidak kasar,,tidak ada
taukamuking of toxic yg harap cuy wkwk hibur goblok didik nonton mata najwa pantes sok an nyuruh ngedidik orang sndri didik iya masuk channel toxic nyari ilmu dsini goblok,-1,kasar,goblok goblok,ada
udah boker like,-1,kasar,boker,ada
benci komentar and like,1,tidak kasar,,tidak ada
kangen jamanya eric main pb,1,tidak kasar,,tidak ada
komentar dibacain ericko lim haru,1,tidak kasar,,tidak ada
like komentar doain masuk surga,1,tidak kasar,,tidak ada
main growtopia like coomenct,1,tidak kasar,,tidak ada
tertawa like wkwkwkwkwk,1,tidak kasar,,tidak ada
ngaku haterkamujuga kalikamuupload nonton lel,1,tidak kasar,,tidak ada
ngebully erickolim tonton setia drama korea sok sok pintar karya mah hha fakkk,1,tidak kasar,,tidak ada
nntn tidur baca comment like yaa,1,tidak kasar,,tidak ada
nonton chanel erico lim lapor toksic,1,tidak kasar,,tidak ada
nonton coli like,1,tidak kasar,,tidak ada
duit,1,tidak kasar,,tidak ada
pentingkamuberkarya bang i am soapersik,1,tidak kasar,,tidak ada
hate comment cmn autis wkwkwkwk,-1,kasar,autis,ada
sabar,1,tidak kasar,,tidak ada
sabar erik semangat buay konten and prank cewekkamunangis,1,tidak kasar,,tidak ada
sabar kak erikolim,1,tidak kasar,,tidak ada
sabar senpaii,1,tidak kasar,,tidak ada
sabar,1,tidak kasar,,tidak ada
sabar uji tuhan maha esa,1,tidak kasar,,tidak ada
semangat bang moga jalankamuuntuk nghibur maju wkwkwkwkwwkwk erkolim is the best,1,tidak kasar,,tidak ada
tuju ericko collab qorygore like,1,tidak kasar,,tidak ada
tuju konten like,1,tidak kasar,,tidak ada
gemar like,1,tidak kasar,,tidak ada
suruh eric tutup chanel bodo nolak rejeki,1,tidak kasar,,tidak ada
yaudah tonton begoasw ane tertawa goblo liat yt hibur,1,tidak kasar,,tidak ada
yaudah hate komentar biar dibacain,1,tidak kasar,,tidak ada
yaudah yao yaaaers kenal,1,tidak kasar,,tidak ada
yaudahlah benci mayan bantuinkamudapet duit bosen non benci mulu by the way antonim benci yak,1,tidak kasar,,tidak ada
ye intro,1,tidak kasar,,tidak ada
ye opening nongol lg,1,tidak kasar,,tidak ada
ye vngsat,1,tidak kasar,,tidak ada
yea intro w tunggu tunggu,-1,kasar,tunggu tunggu,ada
yeaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,tidak kasar,,tidak ada
yeah,1,tidak kasar,,tidak ada
yeah the classic ericko lim is back bitches,1,tidak kasar,,tidak ada
yeahh,1,tidak kasar,,tidak ada
yeahh that my king,1,tidak kasar,,tidak ada
yeahhhhh yeahhhhh yeahhhhhhhhh,1,tidak kasar,,tidak ada
yeay udah subscribe kali bang,1,tidak kasar,,tidak ada
yee tolo kalean udah tau faedah tonton,1,tidak kasar,,tidak ada
yeh ads ganggu cok but aprove hehe lord toxic is back by the way komentar itumah anak vexana,1,tidak kasar,,tidak ada
yeh goblok tompel ilang,1,kasar,goblok,ada
yes erickontoru toxic yg sensor emang gausah dipikirin omong si botak seru coeg,1,tidak kasar,,tidak ada
yes dugem gratis,1,tidak kasar,,tidak ada
yess makeee introooo eriko no limit pros,1,tidak kasar,,tidak ada
yesss erikolim comeback,1,tidak kasar,,tidak ada
yey toxic,1,tidak kasar,,tidak ada
yg takutin pass pikir dewasa nyesell yalu nyesell bantu orng orng yg ngerusak bangsa canda tawa boss,1,tidak kasar,,tidak ada
yg baca subscribe mandul ajg,1,tidak kasar,,tidak ada
yg beli channel didik search deh channel how to basic nonton video didik,1,tidak kasar,,tidak ada
yg nyesek,1,tidak kasar,,tidak ada
yg d ajar erickolim,1,tidak kasar,,tidak ada
yg komentar emang anak paok,1,tidak kasar,,tidak ada
yg comment thumbnail govlok nambah benci nambah kaya orang ygkamuhaters,1,tidak kasar,,tidak ada
yg dislike benci,1,tidak kasar,,tidak ada
yg dislike kaum arap wkwkwk benci benci hujat hina sorry tumbang,-1,kasar,hina,ada
yg fans benci yuk biar baca komennya o,1,tidak kasar,,tidak ada
yg gasuka yaa gausah tonton kontoll,1,tidak kasar,,tidak ada
yg hate ericko lim kaya mkin kenal kwkwwk,1,tidak kasar,,tidak ada
yg hate iq erick h yg hibur pas stress,1,tidak kasar,,tidak ada
yg hate komentar gda yg ngeh lakuin cm ngehibur lakuin yg lakuin walupun emg gila aga beda yg wkwkwk nonton seru ajasi,-1,kasar,gila,ada
yg hate triggered,1,tidak kasar,,tidak ada
yg benci ericko lim just die motherfuckers fuck all the benci keep supporting erickolim,1,tidak kasar,,tidak ada
yg kuasa ye,1,tidak kasar,,tidak ada
yg comment,1,tidak kasar,,tidak ada
yg komentar gitu bocah bang yg otak,1,tidak kasar,,tidak ada
yg komentar bocil bocil,1,tidak kasar,,tidak ada
yg ku tunggu,-1,kasar,tunggu,ada
yg like subscribe video doain keluarga haji,1,tidak kasar,,tidak ada
yg like komentar doain keluarga naji haji,1,tidak kasar,,tidak ada
yg like subscribe,1,tidak kasar,,tidak ada
yg ngehina si erick arti sirik gaji emak,1,tidak kasar,,tidak ada
yg ngeliat gambar qorygore video,1,tidak kasar,,tidak ada
yg nonton ni video,1,tidak kasar,,tidak ada
yg nyuruh konten faedah coba liat channel how to basic cuman hancurin barang kadang jorok subscriber ajg goblok,1,kasar,goblok,ada
yg adsanse,1,tidak kasar,,tidak ada
yg adsense,1,tidak kasar,,tidak ada
yg hibur,1,tidak kasar,,tidak ada
yg hibur patut d contoh by the way islam neng neng liat eicko yg d permasalahin,1,tidak kasar,,tidak ada
yg hibur patut d contoh by the way islam neng neng liat eicko yg d permasalahin,-1,tidak kasar,,tidak ada
yg mah erickolim rasist agama,1,tidak kasar,,tidak ada
yg rad,1,tidak kasar,,tidak ada
yg tubi tubi,1,tidak kasar,,tidak ada
yg sabar,1,tidak kasar,,tidak ada
yg sabar bang ami bang yg benci yg ngebuly hiri bang ama,1,tidak kasar,,tidak ada
yg sabar bng laden tu benci bng,1,tidak kasar,,tidak ada
yg sabar yg bang,1,tidak kasar,,tidak ada
yg sabar bang,1,tidak kasar,,tidak ada
yg sabar yee bang bain,1,tidak kasar,,tidak ada
yg slalu nonton subscribe suara,1,tidak kasar,,tidak ada
yg subscribe mandul turun,1,tidak kasar,,tidak ada
yg subscribe channel,1,tidak kasar,,tidak ada
yng comment rapstronout smua wkwkw,1,tidak kasar,,tidak ada
yng ngebully erick orang normis yng tau,1,tidak kasar,,tidak ada
yo hidup gemar men kontol benci,1,kasar,kontol,ada
yo wadap lerr jan lupa liat channel ad video fortnite no life like pidiogw jan lupa jing,1,tidak kasar,,tidak ada
yoi,1,tidak kasar,,tidak ada
yoi si yayaya,1,tidak kasar,,tidak ada
yoi baju dwp,1,tidak kasar,,tidak ada
yoiii opening anjerrr,1,tidak kasar,,tidak ada
yoo,1,tidak kasar,,tidak ada
yoo bantu subscribe chanel ericko lim juta subcriber aminn,1,tidak kasar,,tidak ada
yoooo introoo xd,1,tidak kasar,,tidak ada
yooooo jess is back,1,tidak kasar,,tidak ada
yosh,1,tidak kasar,,tidak ada
you are the best soapking hxhxhx,1,tidak kasar,,tidak ada
you born with drama bitches brobrogore,1,tidak kasar,,tidak ada
you don t deserve to handle youtube rewind bitch,1,tidak kasar,,tidak ada
you panutanqu bang ahahha cocok stand up bangg ate komentar hate komentar hate comenthate komentar hate comenthate komentar hate comenthate komentar hate comenthate komentar hate komentar x,1,tidak kasar,,tidak ada
you re my capt now erick by the way kaya doi yaa yg lupa darat hehehehev,1,tidak kasar,,tidak ada
you shitty right man yeaaaaaahhhhh,1,tidak kasar,,tidak ada
you so funny,1,tidak kasar,,tidak ada
you tube rewind,1,tidak kasar,,tidak ada
youruber yg banggain,1,tidak kasar,,tidak ada
youtobe go,1,tidak kasar,,tidak ada
youtube com c alfretbawole,1,tidak kasar,,tidak ada
youtube tombol merah warna abu abu pas pencet eh merah biarin dah biar liat error kaya warna gitukamumungkin arti error youtube tu,1,tidak kasar,,tidak ada
youtube hibur untung ketemu canel elu bang wkwkwk,1,tidak kasar,,tidak ada
youtube sebenernya fokus sarana hibur bilang chanel yg didik orang orang diarahin ajar baca baca jurnal artikel berita main youtube,1,tidak kasar,,tidak ada
youtube just for money man,1,tidak kasar,,tidak ada
youtube mah bebas nonton yg didik tonton anjing gtv noh,1,kasar,anjing,ada
youtube rewind garasi drift bang since ngedrift ngelilingin youtubers,1,tidak kasar,,tidak ada
youtube rewind ajak youtuber bang,1,tidak kasar,,tidak ada
youtube rewind arap,1,tidak kasar,,tidak ada
youtube rewind sepi,1,tidak kasar,,tidak ada
youtube youtube tv,1,tidak kasar,,tidak ada
youtuber anjingng,1,tidak kasar,,tidak ada
youtuber centang nongol be lyke,1,tidak kasar,,tidak ada
youtuber yg tinggidengan karya,1,tidak kasar,,tidak ada
youtuber indonesia cuman berani baca hate comment berani nyopot adsense,1,tidak kasar,,tidak ada
youtuber inspirasi ni ekwkwk,1,tidak kasar,,tidak ada
youtuber tergg cok,1,tidak kasar,,tidak ada
youtubers konten faedah duniaa,1,tidak kasar,,tidak ada
yowww yowww broowww broowwww,1,tidak kasar,,tidak ada
ytrwd udah seru jaman arap,1,tidak kasar,,tidak ada
yucuber pantat t e r t e b a l,-1,kasar,pantat,ada
yuhu intro de bes is back goblok,-1,kasar,goblok,ada
yutub bebas,1,tidak kasar,,tidak ada
yutuber subscriber comentator toxic moga hidayah dapet balesan timpal aammiin,1,tidak kasar,,tidak ada
yutup filter yaaaa liat yg faedah liat komentar porsi,1,tidak kasar,,tidak ada
ywd anjing nang jncok,1,kasar,anjing,ada
zakky teteh kendor gitu doyan lu,1,tidak kasar,,tidak ada
zeeb intro asu,1,tidak kasar,,tidak ada
zenonz gaming indo baca yg bner mata baca ngetik,1,tidak kasar,,tidak ada
zhar borneo mukakamukok kyknya tol ig yt adakamutrs video yg tontonkamugada kerja,1,tidak kasar,,tidak ada
zhar zhar zhar zhar zhar zhar bner i like,1,tidak kasar,,tidak ada
zharborneo rewind bang,1,tidak kasar,,tidak ada
zhiap bang,1,tidak kasar,,tidak ada
zigi wig tombol mode batas youtube,1,tidak kasar,,tidak ada
bang kalah benci benci tu bocah bocah sesukseskamumangat bang semangat,1,tidak kasar,,tidak ada
ngertikamusibuk ngurusin youtube tapikamucoba video ngehibur gemar erick thx,1,tidak kasar,,tidak ada
suka banget ama orang,1,tidak kasar,,tidak ada
aaaaaaaaaaaa tampan,1,tidak kasar,,tidak ada
aaaaaaaaaaaaaaaaaa tampan banget cantik,1,tidak kasar,,tidak ada
abai benci bang,1,tidak kasar,,tidak ada
abai benci bang just keep doing what you think is good and entertain us moga cepet juta subscriber bang,1,tidak kasar,,tidak ada
abai benci sukses channel semangat,1,tidak kasar,,tidak ada
abang is the bast,1,tidak kasar,,tidak ada
abang teladan quh,1,tidak kasar,,tidak ada
abay boljug orang birah channelnya blackpink,1,tidak kasar,,tidak ada
abg kaleng kaleng hehe,1,tidak kasar,,tidak ada
gold play button,1,tidak kasar,,tidak ada
iklan skip anti skip skip iklan club sukses ericko lim,1,tidak kasar,,tidak ada
manusia dosa yg hate,1,kasar,dosa,ada
teladan,1,tidak kasar,,tidak ada
presiden dewa,1,tidak kasar,,tidak ada
presiden qori,1,tidak kasar,,tidak ada
qore wokwokwokow,1,tidak kasar,,tidak ada
qorygore,1,tidak kasar,,tidak ada
qorygore youtube rewind,1,tidak kasar,,tidak ada
son of zeus,1,tidak kasar,,tidak ada
tulis subscribe bang tulis disubcribe,1,tidak kasar,,tidak ada
woy benci uang milik channel dibikinin konten lumayan nama benci broo u,1,tidak kasar,,tidak ada
ericko lim ngomong onichan menit wkwk,1,tidak kasar,,tidak ada
download videodi youjizz bz komentar,1,tidak kasar,,tidak ada
ngiri viewer yotobe turun,1,tidak kasar,,tidak ada
nunggu yt rewind v,1,tidak kasar,,tidak ada
yg tau kabar lord randog,1,tidak kasar,,tidak ada
adaa iklannn menit skip,1,tidak kasar,,tidak ada
adik gwe lahir kemarin langsung gwe tontonin vidiokamubang,1,tidak kasar,,tidak ada
aditya chandra serah dah yg udah nyampein sen,1,tidak kasar,,tidak ada
aditya hercules gas,1,tidak kasar,,tidak ada
adolf hitler ma lord,1,tidak kasar,,tidak ada
adolf hitler my fuhrer,1,tidak kasar,,tidak ada
adsense for life,1,tidak kasar,,tidak ada
adsense naikk,1,tidak kasar,,tidak ada
adsense ny haha,1,tidak kasar,,tidak ada
adsense mantap,1,tidak kasar,,tidak ada
aduh udah tertawa dluan anjing intro jess awpokwaeopkawepokawepokwapok,1,kasar,anjing,ada
aduuh telat ngesubscribe nihh mas subscribe ni,1,tidak kasar,,tidak ada
aduuuhhh tertawa parah,1,tidak kasar,,tidak ada
ahkamuganteng rick,1,tidak kasar,,tidak ada
ahaaa bo ong,1,tidak kasar,,tidak ada
ahaha benci maha benarrrr erickolim auto kayaaang deh,1,tidak kasar,,tidak ada
ahh ku suka intro,1,tidak kasar,,tidak ada
ahmad nuh bocah dikatain lgsung bales wkakakkaka,1,tidak kasar,,tidak ada
akal sehat awak udah hilang kahh,1,tidak kasar,,tidak ada
bela ericko lim mantap kali,1,tidak kasar,,tidak ada
bocah suka erickolim knp bahagia ambil positif,1,tidak kasar,,tidak ada
benci suka konten toxic ginian,1,tidak kasar,,tidak ada
cinta chanel erickolim,1,tidak kasar,,tidak ada
cinta channel erickolim channel pamer kaya,1,tidak kasar,,tidak ada
cinta ericko lim,1,tidak kasar,,tidak ada
