,stemmed,sentiment,labeling
5702,hina,-1,kasar
5703,komentar benci erickolim jls ajg,1,tidak kasar
5704,orang karya haters sok tauuuu,1,tidak kasar
5705,orang otak,1,tidak kasar
5706,sekolah ngatain toxic gara nonton channel elu wkwkwkwk,1,tidak kasar
5707,tampil sifat yg skrg gaya yg sok semangat haters tau cuman bangga adsense yg pikir lemah uang segitu kaya gin udah manusia,1,tidak kasar
5708,warga yg udah subscribe ericko lim unssubcribe aje,1,tidak kasar
5709,you tube ciri khas torok eh toxic bla bla serah serah chanel chanel nyari uang nama hibur bau provokator,1,tidak kasar
5710,youtuber benci bkl maju ykin dh klau youtuber benci ksih tau,1,tidak kasar
5711,youtubers konten hibur,1,tidak kasar
5712,mudah anjing suka gayakamurik,-1,kasar
5713,send bob or vagene,1,tidak kasar
5714,neng anjay intro semangat lgsg g dgr intro p orang otak fikiran us,1,tidak kasar
5715,sengaja gagua skip iklan biarkamubayar benci pake duit bang,1,tidak kasar
5716,sens gaming udah tau kotor,1,tidak kasar
5717,sense lyfe,1,tidak kasar
5718,senyumin bang rick fans berat,1,tidak kasar
5719,orang erikcolim tahan nama benci,1,tidak kasar
5720,serah,1,tidak kasar
5721,serah,1,tidak kasar
5722,serah dah yg happy,1,tidak kasar
5723,serah njir hidup kali,1,tidak kasar
5724,konten gin rick tertawa d,1,tidak kasar
5725,video tod,1,tidak kasar
5726,konten kadang pingin ketawa baca komentar botol,1,tidak kasar
5727,nemu liat bang erik cp mo foto ngeri pngen takut wkwk,1,tidak kasar
5728,konten ginian rick hibur jomblo banget,1,tidak kasar
5729,video gin rick,1,tidak kasar
5730,seru,1,tidak kasar
5731,sesal nntn ngabisin kuota,1,tidak kasar
5732,sesal nontonin ni video menit,1,tidak kasar
5733,lihat isi vvibu,1,tidak kasar
5734,liat video teladan qyuh tau vagina ngilu,-1,tidak kasar
5735,seterah youtube bebas udah lawat yah hapus youtube,1,tidak kasar
5736,setoxic ericko lim segimana tetep aj subscribernya asli anti beli unsubs,1,tidak kasar
5737,setoxic toxicnya ericko lim udah indonesia senyum tertawa thanks rick ailapyu somach,1,tidak kasar
5738,tuju anjing at,1,kasar
5739,tuju erick semangat,1,tidak kasar
5740,sexi lim toker,1,tidak kasar
5741,sexy banget asw,1,tidak kasar
5742,shit tertawa sumpah hahaha,1,tidak kasar
5743,shoutt zerr biar kaya,1,tidak kasar
5744,shut the fuck up your a fuckin cunts,1,tidak kasar
5745,shut up fuck up kontoru,1,tidak kasar
5746,shut up the mother fvcking kontoru benci we are family of gemar we don t lose,1,tidak kasar
5747,si acil setipa baca komentar chenel si erik,1,tidak kasar
5748,si bangsad ngekek wkwk,1,tidak kasar
5749,si channel keluarga bngst,1,tidak kasar
5750,si benci otak smua ngatain dm sopan canggih ni zamar pahala dhyo haw like ampe rb subscribe,1,tidak kasar
5751,si kontol make intro ter cancer jga,1,kasar
5752,si kontoru botak selesai rewind tod,1,tidak kasar
5753,si monyet baca,-1,kasar
5754,si palkon,1,tidak kasar
5755,si quda yakult,1,tidak kasar
5756,siaaappp,1,tidak kasar
5757,sial rip headset,-1,kasar
5758,,1,tidak kasar
5759,nonton langsung iklan no skip langsung vid wkwj,1,tidak kasar
5760,erick semangat vid,1,tidak kasar
5761,youtuber gt ajar didik,1,tidak kasar
5762,banget,1,tidak kasar
5763,nama pubg nama realsoapking,1,tidak kasar
5764,nonton tidur,1,tidak kasar
5765,sieh yg ngedit naekin gaji rick,1,tidak kasar
5766,kangen intro erickolim,1,tidak kasar
5767,populer,1,tidak kasar
5768,ngulang ngulang intro legend,1,tidak kasar
5769,tuju part hahaha,1,tidak kasar
5770,yg jd benci sikat kontol issss,1,kasar
5771,yg kangen opening video,1,tidak kasar
5772,yg rindu intro dora like,1,tidak kasar
5773,sifat pink guy versi indonesia,1,tidak kasar
5774,siip bang dukungkamusoapking,1,tidak kasar
5775,sikapkamubang patut contoh,1,tidak kasar
5776,silah hina puas suci penuh dosa benci,-1,kasar
5777,silver,1,tidak kasar
5778,silver play button,1,tidak kasar
5779,simak,1,tidak kasar
5780,titis ericko lim,1,tidak kasar
5781,bro serang dukung ericko lim,1,tidak kasar
5782,cium bau bau mem k ericko kiyoshi,1,tidak kasar
5783,sinyal yg logic,1,tidak kasar
5784,sip,1,tidak kasar
5785,sip bang,1,tidak kasar
5786,sip gan wkwkwkwkwk,1,tidak kasar
5787,sipat asli kaya youtube urang cunya tonton urang,1,tidak kasar
5788,sipp dah,1,tidak kasar
5789,sirik tanda mampuh,1,tidak kasar
5790,skak matt sight i wrong number oooowbwhwowowowowbwhwhwhwhwoowowowoehwhwhhw,1,tidak kasar
5791,skidipapapsawadikapwikwikwik,1,tidak kasar
5792,skidipappap swasskadipap swalow swalow,1,tidak kasar
5793,skinnyfabs haters fans tunda,1,tidak kasar
5794,skip njiir,1,tidak kasar
5795,skip skip iklan club,1,tidak kasar
5796,skrng mah klau jdi trknal benci,1,tidak kasar
5797,skuy,1,tidak kasar
5798,skuy living,1,tidak kasar
5799,skuy living rick,1,tidak kasar
5800,slb,1,tidak kasar
5801,sleding yg bocah,1,tidak kasar
5802,slow bang edsens jalan wkkwkwkwk gx d fikirin anak anak coli,1,tidak kasar
5803,slow rick dukung channel,1,tidak kasar
5804,slow bae bg ericko dukungkamusemangat yt rewind tunggu s nonton videolu,-1,kasar
5805,slow bang erick ngebikinkamujadi toxic anggap ajh hibur slow suportkamubtw video tertawa wkwkwk,1,tidak kasar
5806,slow bang kuat tau tampan bumi i love me bang,1,tidak kasar
5807,slow bro erik dukung,1,tidak kasar
5808,slow rick eak,1,tidak kasar
5809,slow rick soaper sejati luh hibur toxic,1,tidak kasar
5810,slow rick benci membuatkamukaya,1,tidak kasar
5811,slow rick jd youtuberkyj lu,1,tidak kasar
5812,slowin bro,1,tidak kasar
5813,slowo wolow solowp poloso,1,tidak kasar
5814,sloww bang guah dukung chanel lagih,1,tidak kasar
5815,smangat bang dengerin hathers,1,tidak kasar
5816,smangat kontol,1,kasar
5817,smoga sukses bang videoyg lucu salam shoapers semarang,1,tidak kasar
5818,sntai bg erick inget niat hibur orang,1,tidak kasar
5819,so c t asw,1,tidak kasar
5820,so heaters money pinter panutan,1,tidak kasar
5821,so hey gausah sok tau gacuman rapstronaut dislike dislike bkn rapstronaut,1,tidak kasar
5822,so proud of you,1,tidak kasar
5823,emang karakter emang gitu wajar digituin orang wakaka rame channelnya,1,tidak kasar
5824,soap king lope,1,tidak kasar
5825,soap king on the real mvp,1,tidak kasar
5826,soaperr solidd,1,tidak kasar
5827,gemar,1,tidak kasar
5828,gemar anti baper baper club,1,tidak kasar
5829,gemar anti baper tipe gemar,1,tidak kasar
5830,gemar auto triggerd ngehate erick an tonton,1,tidak kasar
5831,gemar bang,1,tidak kasar
5832,gemar bantu subscrabe,1,tidak kasar
5833,gemar bogor hadir bang wkwk tertawa tai vagina linuative koment ahh,-1,kasar
5834,gemar garis keras,1,tidak kasar
5835,gemar asli kw super,1,tidak kasar
5836,gemar jatim here voss,1,tidak kasar
5837,gemar like,1,tidak kasar
5838,gemar like broo,1,tidak kasar
5839,gemar mah ketawa liat komentar gitu eaa zeeb sangad,1,tidak kasar
5840,gemar never die,1,tidak kasar
5841,gemar ngehate ericko kuy biar ericko duit ntaps,1,tidak kasar
5842,gemar adain tantang gemar,1,tidak kasar
5843,gemar kontol,1,kasar
5844,gemar nomber teruss brooo bodo,1,tidak kasar
5845,gemar pro ea,1,tidak kasar
5846,gemar sejati anjing,1,kasar
5847,gemar sejati,1,tidak kasar
5848,gemar sejati semngat erick,1,tidak kasar
5849,gemar sejati komentar,1,tidak kasar
5850,gemar sejati,1,tidak kasar
5851,gemar sejati,1,tidak kasar
5852,gemar buatkamubang keep charming stay focus,1,tidak kasar
5853,gemar gemar,1,tidak kasar
5854,gemar vs rapstronot,1,tidak kasar
5855,soapersgsattttt,1,tidak kasar
5856,soaperss suaranyaamengibur banget anjay thank you,1,tidak kasar
5857,soapking,1,tidak kasar
5858,soapking anti bakar pantad ea pepeq berkaraya,1,tidak kasar
5859,soapking best,1,tidak kasar
5860,soapking mah bebas,1,tidak kasar
5861,soapking d hati eaa,1,tidak kasar
5862,soapkingmah keball,1,tidak kasar
5863,soappers,1,tidak kasar
5864,soappers never die,1,tidak kasar
5865,soapres,1,tidak kasar
5866,soapstronaut,1,tidak kasar
5867,sobat gurun hiyahiyahiya,1,tidak kasar
5868,sobat gurun iya kyak elu bayi tabungg bangsat,1,kasar
5869,sobat gurun sedih hidup dislike orang,1,tidak kasar
5870,sobat gurun teruskamukudu ngomong zionis satanis,1,tidak kasar
5871,sok jago kuat dih malu in orang depok tod,1,tidak kasar
5872,sokkamubang reza musuh terbesarkamuaja bang ericko lim sang wibu indonesia wkwkwk mukakamukayak reza arap bang,1,tidak kasar
5873,sok ngatur kentot subscribe ajh hahah tertawa,1,tidak kasar
5874,sok haterkamunjing,1,tidak kasar
5875,sok sok an ngatain ericko limkamusndiri otak cuman ngehina orang benci pikir napa goblokkamuudah sok an ngata in orang,-1,tidak kasar
5876,sok suci,1,tidak kasar
5877,sok y luh ngomong ta ngemeng susu bro,1,tidak kasar
5878,sony widiyanto sebenarnyakamuitu bro,1,tidak kasar
5879,sopam dikit lucu hahaha yg masker,1,tidak kasar
5880,sopan anjing,1,kasar
5881,sopers hadirr,1,tidak kasar
5882,sori bro tangan gerak nulis nama death note,1,tidak kasar
5883,sorry bang telat telat tetep auto nonton bang,1,tidak kasar
5884,sorry bos atur yg bilang youtuber ngomong sopan,1,tidak kasar
5885,sorry ngegas,1,tidak kasar
5886,speed x gg,1,tidak kasar
5887,sperma menit,1,tidak kasar
5888,squad soaper suara wkwk mem k ngilu anjing,1,kasar
5889,squudwot baaaaacccooooooot,1,tidak kasar
5890,ssooooapers sejati suara,1,tidak kasar
5891,stay,1,tidak kasar
5892,stay kalem,1,tidak kasar
5893,stay gemar ngntd,1,tidak kasar
5894,stay soaperssss,1,tidak kasar
5895,stay sopaerss,1,tidak kasar
5896,steadyakufan mu mlysia benci otak crack,1,tidak kasar
5897,steven shu harap wujud peraturanya,1,tidak kasar
5898,stju erick,1,tidak kasar
5899,stop hate spread love,1,tidak kasar
5900,stres hibur goblok,1,kasar
5901,suara jumpscare ajg,1,tidak kasar
5902,subscribe chanel subscribe bos q,1,tidak kasar
5903,subcraiber,1,tidak kasar
5904,subscribe chaneel yak dukung,1,tidak kasar
5905,subcribeer erick parah dah,1,tidak kasar
5906,subscribe back bro w adik erickolim v,1,tidak kasar
5907,subscribe bot,1,tidak kasar
5908,subscribe chanel yt guys subscribe dm skin ayo guys,1,tidak kasar
5909,subscribe channel,1,tidak kasar
5910,subscribe channel yg disubsback comment,1,tidak kasar
5911,subscribe gan gwa ultah,1,tidak kasar
5912,subscribe subscribe back,1,tidak kasar
5913,subscribe subscribe back,1,tidak kasar
5914,subscribe bro biar verified,1,tidak kasar
5915,subscribe chanel bantu erick juta biar greget family friendly,1,tidak kasar
5916,subsback,1,tidak kasar
5917,subscribe,1,tidak kasar
5918,subscribe warna biru bang donk,1,tidak kasar
5919,subscribe channel yak disubsback,1,tidak kasar
5920,subscribe channel ku bro,1,tidak kasar
5921,subscribe juta pake gaya kalah atta halilintau,1,tidak kasar
5922,subscribe segitu doang kalah am atta,1,tidak kasar
5923,subscribe beli wkwkwo,1,tidak kasar
5924,subscribe ericko lim zaman kerja garena,1,tidak kasar
5925,subscribe wkwk,1,tidak kasar
5926,subscribe channelakukaka nantiakusubsback kedengeran suara lu,1,tidak kasar
5927,subscribe makan bulu ketek mamah,1,tidak kasar
5928,subscribe me pliss,1,tidak kasar
5929,subscribe youtube,1,tidak kasar
5930,subscribeny mulu,1,tidak kasar
5931,subscriber nonton dikit hapus channel,1,tidak kasar
5932,subscriber beli,1,tidak kasar
5933,subscriber g nambah,1,tidak kasar
5934,subsribe oy subsribe,1,tidak kasar
5935,suci debu,1,tidak kasar
5936,wajib netizen rangkul membully,1,tidak kasar
5937,suka lucu liat orang tolol komentar agamakamusiapa anjing nentuin video bang erick pantes tonton ama orang dasar tolol bilang pinter tolol e liat,-1,kasar
5938,suka tertawa ama org yg takut anak nonton video internet bos anak buka yutub iseng ketik tetek jg video yg isi toket wkwkwk inti bocil buka yutub musti awas ortu ortu jg musti rajin liat history anak nonton yg jelek hapus biar gada recommend video lg,1,tidak kasar
5939,sukses bro,1,tidak kasar
5940,sukses bang,1,tidak kasar
5941,sukses teruss motherfucker,1,tidak kasar
5942,sumber uang fans yg tunda pinter jugakamukntl,1,tidak kasar
5943,sumbu pendek gausa liat eaa kena dark joke dikit baper ea bocah kentang eaa,1,tidak kasar
5944,sumpah tertawa anjing baca comment hatersny,1,kasar
5945,sumpah allah like comment,1,tidak kasar
5946,sumpah bang kekeh liat,1,tidak kasar
5947,sumpah bang hibur s,1,tidak kasar
5948,sumpah benci erick pas lihat video suka chenel ericko,1,tidak kasar
5949,sumpah ericko bad timing ngeupload video,1,tidak kasar
5950,sumpah benci subscriber boom,1,tidak kasar
5951,sumpah ngefans banget smakamurik,1,tidak kasar
5952,sumpah jujur dlu benci banget parah ni org skrg udah tau sisi doi chill dama doi soaperrrs,-1,tidak kasar
5953,sumpah doang yg ketawa tertawa anjir video yg bang,1,kasar
5954,sumpah tertawa,1,tidak kasar
5955,sumpah tertawa emg bocor bg eric wwkwkwwkwk,1,tidak kasar
5956,sumpah tertawa rikk ers,1,tidak kasar
5957,sumpah tertawa nonstop ajg by the way intro yg erick,1,tidak kasar
5958,sumpah nguakakkkkk,1,tidak kasar
5959,sumpah hetters goblok ngomong gx nyambung,-1,kasar
5960,sumpah no tertawa banget asliube bisakamujajanin,1,tidak kasar
5961,sumpah rick chaneelkamuitu mengibur banget anjay thank you,1,tidak kasar
5962,sumpah rikmukalokayakontolkejepitdanlojangansoksuci kerenmasihneteaja,1,tidak kasar
5963,sumpah tertawa caption njer video tertawa unggu endorses tol,1,tidak kasar
5964,sumpah tertawa bangck elu laki coba elu cewek ewe,1,tidak kasar
5965,sumpah tertawa eric mantr,1,tidak kasar
5966,sumpah tertawa liat expersi bang konten makan roti pakai alas kos kaki bang kos kaki cuci lucu atain orang sok tampan pen tertawa banget benci bang yg pikir ngehujat alah balas makas salam ib,1,tidak kasar
5967,sumpah tertawa pas tampan wwkwkwkwkkwkwkwkwk,1,tidak kasar
5968,sumpah w tertawa w net yg tenang ketawa orang sakit jiwa,1,tidak kasar
5969,sumpah we tertawa njirr,1,tidak kasar
5970,sumpah bang semarang fans berat sumpah,1,tidak kasar
5971,sumpahh banget liat video arap niat subscribe why gituu why erikonto,-1,tidak kasar
5972,sumpahhhh xthn wkkwwkw,1,tidak kasar
5973,sunat duls gans,1,tidak kasar
5974,sungguh sayang benci cuvluk,1,tidak kasar
5975,sungguh komentar ber faidah,1,tidak kasar
5976,sunscribeer yg ngebacotin bocah tau sifat aslikamudi kamera,1,tidak kasar
5977,sup malam,1,tidak kasar
5978,super bang,1,tidak kasar
5979,support mah,1,tidak kasar
5980,support for ericko,1,tidak kasar
5981,supportkamurick,1,tidak kasar
5982,surbay bro skip,1,tidak kasar
5983,surga vs neraka mah,1,tidak kasar
5984,suruh hapus maksud orang primitif,1,tidak kasar
5985,suruh,1,tidak kasar
5986,susu kental manis,1,tidak kasar
5987,susu kontol manis bang,1,kasar
5988,susukntlmanis,1,tidak kasar
5989,sy indonesia jdi pecah belah kali,1,tidak kasar
5990,syalom mas erick,1,tidak kasar
5991,syang erick,1,tidak kasar
5992,syap konten faedah hibur pikir benci benci piki keri benci sumber duit,-1,tidak kasar
5993,t,1,tidak kasar
5994,t tit tampan bang,1,tidak kasar
5995,t vid,1,tidak kasar
5996,tabah hati keras taimu,1,tidak kasar
5997,komentar yak,1,tidak kasar
5998,mo makan roti isi jembut cium bau mekem kolton,-1,kasar
5999,nyuruh subscribe subscribe x,1,tidak kasar
6000,si erick bangga kontoollll benci hasil duiit begoo,1,tidak kasar
6001,taek benci,1,tidak kasar
6002,taek wkekekw,1,tidak kasar
6003,tahan anak muda,1,tidak kasar
6004,bulat goreng dada dollar gurihhhh,1,tidak kasar
6005,tai bang konyol vidiolu,-1,kasar
6006,taik asu cok rai plagiat asu,1,tidak kasar
6007,taikk,1,tidak kasar
6008,taiyou ni hoero judul lagu ericko lim setel video wkwkwkwkwkwkwkwk,1,tidak kasar
6009,erick halal,1,tidak kasar
6010,takut arapnya arap cupu,-1,kasar
6011,takut umat islam,1,tidak kasar
6012,takuto harsakusumah kanehira wkwkwk usaha bro,1,tidak kasar
6013,cancerrr,1,tidak kasar
6014,tampol bang erik benci yg muka dajjal,1,tidak kasar
6015,tampolin pake peler bang tol,1,tidak kasar
6016,tan tertawa videokamuv,1,tidak kasar
6017,tanda zaman ni org,1,tidak kasar
6018,tanda kiamat eric kontenkreator manfaat,1,tidak kasar
6019,benci youtuber,1,tidak kasar
6020,sadar benci yg masuk komentar,1,tidak kasar
6021,boong,-1,tidak kasar
6022,coli lancar rick,-1,tidak kasar
6023,bantu chanelkamubang yg didik yg ngata ngatainkamuberarti sirik tuk kaya luenumbuhkan dosa tau agamakamuapa agama tuju idup,-1,kasar
6024,tetep fanskamukok rick,-1,tidak kasar
6025,tarik nafas hembus,1,tidak kasar
6026,tarik napas,1,tidak kasar
6027,tau asli bang eric sijgn hina gitu dongchannel youtube kaya videodunia hancur yaa bang,-1,kasar
6028,tau bully orang chenel liat pikir otak dasar w t f bocah micin,1,tidak kasar
6029,tau ngelike aowkwkwk w bkn benci ericko,1,tidak kasar
6030,tau gitu haterskamubroo biar baca amakamuspa tau subscribe drastis,1,tidak kasar
6031,tau gitu komentar toxic biarkamubaca erick,1,tidak kasar
6032,tau,1,tidak kasar
6033,tau dibuly jg buli orang anjing,1,kasar
6034,taur ae karo arek bonekk anjing ngomong tokk,1,kasar
6035,tayo,1,tidak kasar
6036,tdnya bully ngebela,1,tidak kasar
6037,te best intro is back,1,tidak kasar
6038,teguh suganda ngegas,1,tidak kasar
6039,teh asuu,1,tidak kasar
6040,teman teman ulang ucapin gitu janji collab agung hapsah nunggunungguin,1,tidak kasar
6041,tembus juta ngapaiin nyukk,1,tidak kasar
6042,temen wkwk wish thebest for you tod,1,tidak kasar
6043,hujan jing,1,tidak kasar
6044,tempeekk,1,tidak kasar
6045,tempik,1,tidak kasar
6046,tenang,1,tidak kasar
6047,tenang bang benci kaya,1,tidak kasar
6048,tenang erick benci kenal orang videokamu ketawa ketawa gitu poko mah sukses erick,1,tidak kasar
6049,tenang bang erick tonton setiakamukonten ygkamubuat seru monotonkerenterusin bang,1,tidak kasar
6050,tenang bang ericko support,1,tidak kasar
6051,tenang bang bantuin ta,1,tidak kasar
6052,tenang bang dukungkamusetiapkamubuat video like x,1,tidak kasar
6053,tenang bang soapersss sejati hate lo,1,tidak kasar
6054,tenang bang benci ambil dislike video,1,tidak kasar
6055,tenang bangkamuganteng,1,tidak kasar
6056,tenang bosque subskamupada bubar inget setia amakamubos peduli subskamugw masalahkamutocxic or what ever,1,tidak kasar
6057,tenang just fucking play mobile ent t,1,tidak kasar
6058,tenang respect samakamurick,1,tidak kasar
6059,tenang rick stay gemar skip iklan,1,tidak kasar
6060,tenang erick fans abai hatter hatter bajing,1,tidak kasar
6061,tenang erick tetep subscribe,1,tidak kasar
6062,tenang erick gemar setiakamurik otoll,1,tidak kasar
6063,teng teng teng teng teng teng teng teng teng teng teng,1,tidak kasar
6064,baca kemarin,1,tidak kasar
6065,ter ngomong doang emang suskreb usaha bujank ejek usaha kagak benci kontol,1,kasar
6066,tercydkkkk,1,tidak kasar
6067,hibur w gara gara kontenkamuwkwke,1,tidak kasar
6068,terimakasih bang udah ngehibur,1,tidak kasar
6069,terimakasih ericko lim,1,tidak kasar
6070,terimakasih benci ku konten terimakasih deaw iblis ginii yaa todd orangg lemah repstronot ea,1,tidak kasar
6071,terimakasih haters nonton sampe habis komentar,1,tidak kasar
6072,terimakasih motivasi semangat positif,1,tidak kasar
6073,terimkasih heaters,1,tidak kasar
6074,terkentoddddwan sate,1,tidak kasar
6075,baper bang benci lugx biar yg buly subsciberkamuwkwkw,1,tidak kasar
6076,serius nonton yt hibur guys,1,tidak kasar
6077,nyata erickontoru habis konten,1,tidak kasar
6078,nyata haterskamukebanyakan orang idiot ehe,-1,kasar
6079,ternyataa benci hatersskamugoblok yaa rikk minum kiranti hahaah,-1,tidak kasar
6080,terserahkamutod,1,tidak kasar
6081,tertawa,1,tidak kasar
6082,tertawa a pinkguy jan paksain pls,1,tidak kasar
6083,tertawa ajg ama hatterss,1,tidak kasar
6084,tertawa ajg juta beli subscribe wkwk otak ajg goblok sampe dna tulang,1,kasar
6085,tertawa ajg gitu tod,1,tidak kasar
6086,tertawa ajg wkwkwkwkkwk,1,tidak kasar
6087,tertawa bang,1,tidak kasar
6088,tertawa bang nontonya,1,tidak kasar
6089,tertawa liat ni video bang karya,1,tidak kasar
6090,tertawa ngentodd,1,tidak kasar
6091,tertawa pas masha sulap,1,tidak kasar
6092,tertawa ane liat konten bang,1,tidak kasar
6093,tertawa anjay icko ken tau tipe tipe manusia aneh cipta tuhan liat salah mata yaaa manusia pilih hidup masuk benci tuhan ciptain manusia tipe hape pc alat gunain speknya asek kali sungai got garing idup tjoy wasalal,-1,kasar
6094,tertawa anjing,1,kasar
6095,tertawa anjing tertawa banget sumpah,1,kasar
6096,tertawa anjing,1,kasar
6097,tertawa anjing bulian enak kentot,1,kasar
6098,tertawa anjing,1,kasar
6099,tertawa anjir mem k ngilu wkwk,1,kasar
6100,tertawa anjrit guaa,1,tidak kasar
6101,tertawa anjing,1,kasar
6102,tertawa asli bang stiap liat channel,1,tidak kasar
6103,tertawa asu,1,tidak kasar
6104,tertawa asuu,1,tidak kasar
6105,tertawa asw,1,tidak kasar
6106,tertawa bang,1,tidak kasar
6107,tertawa bang liat,1,tidak kasar
6108,tertawa bang next time coba konten motivasi ericko golden ways bangg,1,tidak kasar
6109,tertawa banget bang sampek hafal iklan iklan skip,1,tidak kasar
6110,tertawa bangsadddd,1,tidak kasar
6111,tertawa bangsaddddd,1,tidak kasar
6112,tertawa ni video,1,tidak kasar
6113,tertawa bet,1,tidak kasar
6114,tertawa bng rikhater make you famous,1,tidak kasar
6115,tertawa bngsad,1,tidak kasar
6116,tertawa bngsd,1,tidak kasar
6117,tertawa boss wkwk,1,tidak kasar
6118,tertawa mah dukung luh erick,1,tidak kasar
6119,tertawa cun erickolim kasi,1,tidak kasar
6120,tertawa elete channel video lucu,1,tidak kasar
6121,tertawa gan,1,tidak kasar
6122,tertawa goblok,1,kasar
6123,tertawa gendel,1,tidak kasar
6124,tertawa liat gaya bicara bang,1,tidak kasar
6125,tertawa mah,1,tidak kasar
6126,tertawa maju teruss bangg,1,tidak kasar
6127,tertawa njir nice soapkingyg w skip asu,1,tidak kasar
6128,tertawa gwe bang,1,tidak kasar
6129,tertawa benci wkkw,1,tidak kasar
6130,tertawa kontol,1,kasar
6131,tertawa liat ericko lim lw lg ngantri shaburi kintan cew n bokap nyokap,1,tidak kasar
6132,tertawa liat video loooo,1,tidak kasar
6133,tertawa mulu kali liat video yg benci pd bocah kentot smua,1,tidak kasar
6134,tertawa nggax tahan hahahahahaah,1,tidak kasar
6135,tertawa njing,1,tidak kasar
6136,tertawa njing haha,1,tidak kasar
6137,tertawa njink,1,tidak kasar
6138,tertawa njirr,1,tidak kasar
6139,tertawa njirrr,1,tidak kasar
6140,tertawa nntnnyaa semangat bang,1,tidak kasar
6141,tertawa nonton erick ten yg pas k an subscribe seru macem konrenya pink guy reaction awkarin,1,tidak kasar
6142,tertawa nonton videoanjg kwkwjw,1,tidak kasar
6143,tertawa nontonya wkwkwk hibur,1,tidak kasar
6144,tertawa nying,1,tidak kasar
6145,tertawa online,1,tidak kasar
6146,tertawa pas bilang bau m k,1,tidak kasar
6147,tertawa qw njir,1,tidak kasar
6148,tertawa liat videokamu bang wkwkwkwkunfaedah hh,1,tidak kasar
6149,tertawa sial emang berfaefah org tertawa sia channel didik,-1,kasar
6150,tertawa smpahhh smoga subscribe bang,1,tidak kasar
6151,tertawa so hard pepek ampe ngilu hahahahaha,1,tidak kasar
6152,tertawa sumpah dah chanel,1,tidak kasar
6153,tertawa sumpahanin tulis video,1,tidak kasar
6154,tertawa suuu akwaokaokwok,1,tidak kasar
6155,tertawa teroddddd wkaowkaowkaowk,1,tidak kasar
6156,tertawa nntn rickermotivasi semangat positif,1,tidak kasar
6157,tertawa uas mu bawa pulang wanita,1,tidak kasar
6158,tertawa,1,tidak kasar
6159,tertawa wkwk org baperan wkwk namany jg channel hibur ngalir nying,1,tidak kasar
6160,tertawa wkwkwk,1,tidak kasar
6161,,1,tidak kasar
6162,aj rick konten cmn saran hilangin ngmong jorok,1,tidak kasar
6163,karya rick,1,tidak kasar
6164,bang video,1,tidak kasar
6165,bekarya bangs gila bang semangatt bangg eriko no smile,-1,kasar
6166,karya bang abain benci,1,tidak kasar
6167,karya bang colim,1,tidak kasar
6168,karya bang ericko nama sya rycco wkwkwk,1,tidak kasar
6169,karya bangtoll dukungkamubangtol,1,tidak kasar
6170,karya erick dengerin omong benci,1,tidak kasar
6171,karya tod,1,tidak kasar
6172,diikutin gitu,1,tidak kasar
6173,peduli faedah upload video,1,tidak kasar
6174,juang bang,1,tidak kasar
6175,karya bang,1,tidak kasar
6176,karya bang ericko tampan suport abang ericko,1,tidak kasar
6177,karya buktiin cemohan ubah tepuk tangan,1,tidak kasar
6178,karya crazy fucking human lawakanlo mood happy banget gada didik hahahahahahah apresiasi banget hahahaha,1,tidak kasar
6179,karya mu nak,1,tidak kasar
6180,karya erick yg dukung lohaters tau video asli beda kamera cuman internet personality u kenal,1,tidak kasar
6181,kaya toxic jfn denget orang,1,tidak kasar
6182,konsisten bang,1,tidak kasar
6183,kreasi rick hetersnya,1,tidak kasar
6184,chanel bang hibur ontol mu,1,tidak kasar
6185,maju bang subscribe chanelkamumulai rb subscribe mas bang,1,tidak kasar
6186,maju bang dengerin benci akuikamuemang kontol hidup gemar,-1,kasar
6187,saia,1,tidak kasar
6188,semangat bang,1,tidak kasar
6189,semangat bang ngehina selow dukung bang,1,tidak kasar
6190,semangat ericko lim lupain benci,1,tidak kasar
6191,sin kak eric biar rin orang bilang,1,tidak kasar
6192,terusin karyakamurik benci bikinkamumakin kaya,1,tidak kasar
6193,terusin bang lanjutin konten toxic,1,tidak kasar
6194,terusin bang yak tertawa asli awkowkwowkwowkkk,1,tidak kasar
6195,terusin karya luh bang jelass,1,tidak kasar
6196,terusin erick,1,tidak kasar
6197,karya mu bang,1,tidak kasar
6198,teruz karya,1,tidak kasar
6199,tertawa asw,1,tidak kasar
6200,karya bang,1,tidak kasar
6201,karya ric delead channel dukung lo,1,tidak kasar
6202,karya yaa tod,1,tidak kasar
6203,bang erik goyah,1,tidak kasar
6204,bang semangat,1,tidak kasar
6205,erick yg pling the best,1,tidak kasar
6206,karya bg rick,1,tidak kasar
6207,nnton sampe tinggal rick,1,tidak kasar
6208,semangat,1,tidak kasar
6209,semangat bang,1,tidak kasar
6210,semangat brada,1,tidak kasar
6211,semangat bro nama hibur by the way introkamulegendaris anjingng,1,tidak kasar
6212,semangat kak dengerin omong orang,1,tidak kasar
6213,semangat njing keep support kontol,1,kasar
6214,semangat erick dukung lu,1,tidak kasar
6215,semangat karya,1,tidak kasar
6216,,1,tidak kasar
6217,tabah bang hadapin benci,1,tidak kasar
6218,toxic tod,1,tidak kasar
6219,pendiriankamurik,1,tidak kasar
6220,tetekers suara,1,tidak kasar
6221,tetenya kim hitam,1,tidak kasar
6222,tetep bekarya bang,1,tidak kasar
6223,tetep dirikamusendiri rickt lu,1,tidak kasar
6224,tetep,1,tidak kasar
