stemmed,sentiment,labeling,filtered
untung pake headset,1,tidak kasar,
up,1,tidak kasar,
upkamulagi,1,tidak kasar,
up up,1,tidak kasar,
up up up,1,tidak kasar,
upgrade pantad cuy biar kebal bait,1,tidak kasar,
upill,1,tidak kasar,
upin ipin,1,tidak kasar,
upload pb bang anti toxic,1,tidak kasar,
upload,1,tidak kasar,
upload video musik bang please rainy days puter kentot,1,tidak kasar,
upload videongentodkamurick tuju like,1,tidak kasar,
upzxzzxxxxxxxzzz botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak botak,1,tidak kasar,
ur mom say u are the handsome man in the world so gapapalah anggap tampan,1,tidak kasar,
urus erick benci fans setia bang,1,tidak kasar,
dengerin orang bg orang iri tu emang semangat bg,1,tidak kasar,
dipeduliin bang,1,tidak kasar,
ngegas eric,1,tidak kasar,
peduli benci cma iri mngkin jg benci bayar channel belah anjingng ekwkw,1,tidak kasar,
peduliin benci bro,1,tidak kasar,
pikirin hatersnya bang yg video ampe kiamat,1,tidak kasar,
ush dipikirin omong hatersya yg nyakitin hati tu bang yg toxic ilihat chanelnya,1,tidak kasar,
uutramen,1,tidak kasar,
uuuull,1,tidak kasar,
uwes subscribe cokkk jancok kon main cat mario,1,tidak kasar,
uwuwuwuw bodoh ttp sayangkamuhehe,1,kasar,bodoh
uzumaki kontoru,1,tidak kasar,
tekstidaktersedia,1,tidak kasar,
benci,1,tidak kasar,
qwkoawkoawoawo,1,tidak kasar,
vangke tertawa,1,tidak kasar,
vapor mem k erickolim idola slalu teken volume takut jumscare ape yg gin wkwk channel ngapain emang situ gedein chanellnya liat proses bro hasil fuck the benci,1,tidak kasar,
vegana,1,tidak kasar,
verified bug,1,tidak kasar,
video motivasi komentar benci unsub lol,1,tidak kasar,
video asli sampe menit nonton menit yg channel dapet adsense gitu,1,tidak kasar,
video goblok,-1,kasar,goblok
video erick tuhh semangat tau knp stress nonton video erick ketawa kaya org gila kwkwkwlkwkwkwkwkwkwkwqkwkwkwkwkwkwkwkwk,-1,kasar,gila
video gin bang asik,1,tidak kasar,
video ajar kalokamudibully orang dibully wkwk,1,tidak kasar,
video yg upload upload anjirr,1,tidak kasar,
video manfaat bro,1,tidak kasar,
video mnt iklan semesta ajg,1,tidak kasar,
video faedah ngasih tau erick video nggk patut cpntohkamusemua yg bego nyet,-1,kasar,bego
video yg tunggu erick kirik,-1,kasar,tunggu
videoabang lucu lucu bang ketawa,1,tidak kasar,
videomenit iklan,1,tidak kasar,
view,1,tidak kasar,
viewers,1,tidak kasar,
views likenya rban gudd,1,tidak kasar,
views komentar njirrr,1,tidak kasar,
vincent alex fans,1,tidak kasar,
vincent alex simak bos nga baca baca,1,tidak kasar,
viral video kocak satlantas aceh utara,1,tidak kasar,
vlog banyakin,1,tidak kasar,
volume kecilin bro yg,1,tidak kasar,
volume kecilin bro yg,1,tidak kasar,
vvadoo erico lim,1,tidak kasar,
vvadooh bang erick terbully,1,tidak kasar,
vvibu mah bebad,1,tidak kasar,
w dukung rick,1,tidak kasar,
w dukung erick,1,tidak kasar,
w orng kaya ngesub erick,1,tidak kasar,
w lom sapskrep bantu naikin vius,1,tidak kasar,
w ngikut unsubs ah,1,tidak kasar,
w nonton ngupil enak yg haqiqi,1,tidak kasar,
w sk pribadi coy wkwk,1,tidak kasar,
w gemar garis keras ea tod,1,tidak kasar,
w subskamudri dooloo wktu garena anjiinkk n vidiokamudri dooloo emng jlas mnghibur bangsat,-1,kasar,bangsat
wa gila nntn iklan menit g skip wkwkwkwkwk,-1,kasar,gila
wa nonton vid bareng ortu ntaps,1,tidak kasar,
wa siapp,1,tidak kasar,
waaaaaaaaaaaa,1,tidak kasar,
wad my senpai the bast kaya my senpai kampang,-1,kasar,kampang
wadaw,1,tidak kasar,
wadaw gemar club,1,tidak kasar,
wadaw wadidaw mayan ajar videoadalah dengerin omong benci,1,tidak kasar,
wadh udah liat tug intro,1,tidak kasar,
wadoo benci aink yak,1,tidak kasar,
wadoo pas bilang vagina emak asw sangka nonton skidipapapppppp sawadikap,-1,tidak kasar,
anjinkkkk rick tau beli subscribe wjwkwkkw,-1,tidak kasar,
berani berani majang muka presiden,-1,tidak kasar,
nympil dewa corry gore,-1,tidak kasar,
qorygore menit,-1,tidak kasar,
bang erik coli youtuber paten kaleng kaleng,1,tidak kasar,
foto son of zeus dimunculin qorygore awokwok,1,tidak kasar,
parahkamuya udah tampan yt riwaind,1,tidak kasar,
si erickkontoru cocok tri didik biar anak kurikulum yg timpal,1,tidak kasar,
uploadnya cepat kaya,1,tidak kasar,
bocil silah berkomenria,1,tidak kasar,
wahayy benci lenyap kau bumi,1,tidak kasar,
wahh bang benci is sucks,1,tidak kasar,
wahh channel agama benci auto neraka wkwkwk,1,tidak kasar,
wahh youtube rewind,1,tidak kasar,
wahhh son of zeus qorygore suara,1,tidak kasar,
wahhh ketawa lemes cok,1,tidak kasar,
wahhhh bangsad semenjak nonton video ken nampol wwkwkwk erick anjinh,1,tidak kasar,
waiting for,1,tidak kasar,
waiy,1,tidak kasar,
wajar hates tanda kenal,1,tidak kasar,
wajib,1,tidak kasar,
wajib kecilin volume kwkakwwkk,1,tidak kasar,
wajib pake earphone,1,tidak kasar,
wajib trending,1,tidak kasar,
wakakakak,1,tidak kasar,
wakakakakakaka gokil bang,1,tidak kasar,
toxic tertawa njirr wkwk,1,tidak kasar,
konten faedah tetep hibur anjing,1,kasar,anjing
walaupunkamukaya konyol,1,tidak kasar,
ngomong nyh kayak gitu tetep ajh tertawa ajg muka cem kontl tertawa,1,tidak kasar,
benci benci makamugw gabakal unsubkamukok kontol jujur ckup hibur ma kontenkamuya ajg,1,kasar,kontol
toxic benernya,1,tidak kasar,
walpaht dylen mukaknya sam senyum dylen rambut dagu jyk walpht coba jelasin,1,tidak kasar,
wanjir kaget wkwkkwkw ihi bulu kintoll rick wkwkwan dikit napa njing jancokkk lloo kasi generasi muda njing,1,tidak kasar,
wanjirr qorygore,1,tidak kasar,
want join this team wkwk,1,tidak kasar,
waokwaokkowakowakowakowaokwaokawkowaokawok,1,tidak kasar,
warlen warpath daylen,1,tidak kasar,
warlen wkwkw,1,tidak kasar,
warning headphone user auto akhirat,1,tidak kasar,
warning video isi konten toxic,1,tidak kasar,
warpath daylenwkwkw,1,tidak kasar,
warpath daylen,-1,tidak kasar,
warrtm officialyt up,1,tidak kasar,
watafack,1,tidak kasar,
waw,1,tidak kasar,
we are here,1,tidak kasar,
we komentar harap kasi roti isi jembot,1,tidak kasar,
we need part video like this,1,tidak kasar,
we ngeteh asu,1,tidak kasar,
we r bro army we r b tch no mercy,1,tidak kasar,
weee intro erickolim no limit pros yg dlu lgi jdi nostalgia,1,tidak kasar,
weeeeeeeeoww,1,tidak kasar,
weh anjir iklan banget a nunggu channelkamununggukamubotak ilang ya,-1,kasar,anjir
weh bru kelar nnton film sully mlh ktmu aktor d,1,tidak kasar,
weka benci mah bang ngatain doang berkaryav,1,tidak kasar,
weki lucu asyiqueee foto kwooskwowpwowlwlowpwp,1,tidak kasar,
welcome back intro erickolimprosnolimit,1,tidak kasar,
welcome to chanel family frenly,1,tidak kasar,
welkom tu eriko lim cenel benci uang,1,tidak kasar,
well i found free a money making system that is really working just go to,1,tidak kasar,
well you re always entertaining so far although there s a lot of cancer things you ve been doing but u do really have a content for me erick just keep bitching up,1,tidak kasar,
wes komentar niy rame,1,tidak kasar,
wesgamers nyasar bang,1,tidak kasar,
wew,1,tidak kasar,
weww,1,tidak kasar,
wey kentod heaters goblok unsub unsub ush nntn chanel bala doang taeq,-1,kasar,goblok
weyy benci ericko lim ngumpul,1,tidak kasar,
what kind of kqryq,1,tidak kasar,
what the f ck man,1,tidak kasar,
what the fuck,1,tidak kasar,
whoop,1,tidak kasar,
why almost people hurt to other,1,tidak kasar,
why we still here,1,tidak kasar,
wibu wajib join grup inikuyyy gabun,1,tidak kasar,
wifi bang,1,tidak kasar,
wih anget,1,tidak kasar,
wihh foto si qory brobro,1,tidak kasar,
wik wik wik,1,tidak kasar,
wik wik wik aih aih,1,tidak kasar,
wik wik wik wik,1,tidak kasar,
wik wik wik wik ah ah ah ai oi oi oi,1,tidak kasar,
wik wik wik wik wik,1,tidak kasar,
wik wik wik wik wik wik ah ah ah ah,1,tidak kasar,
wik wik wik wik wik wik uh uh ah ah ah,1,tidak kasar,
wik wik wik wik wik wik wik,1,tidak kasar,
wik wik wik wik wik wik wik ah ah ah ah ah ah aaaaahhhh uy uy uy uy uy uy uy ay ay ay ay ay ay au sayy,1,tidak kasar,
wik wik wik wik wik wik wik ahh ahh ah ahh ahh ahh ihh i ih ih ihh like komentar tau lagu,1,tidak kasar,
wik wik wik wik wik wik wik wik wik ah ah ah ah ah ah ah ah ah wik wik wik wik wik wik,1,tidak kasar,
wik wik wik wik wik wik wik wik wik wik,1,tidak kasar,
wik wik wik wik wik wik wik wik wik wik wik wik wiiik,1,tidak kasar,
wik wik wik wik wik wik wik wik wik wik wik wik wik wik wik wik oh oh oh oh oh,1,tidak kasar,
wik wik wik wik wikwik wik,1,tidak kasar,
wik wik wik wik wikwikwikwikwiwkwikwik,1,tidak kasar,
wikk wik wik wik aah,1,tidak kasar,
wikwikwikwikwikwikwikwikiwkiwk,1,tidak kasar,
wis mangan ra udud paru paru ora smile,1,tidak kasar,
wkkwkw wanjir subscribe beli asw,1,tidak kasar,
wkkwwk intro,1,tidak kasar,
wkoakwoakwoakw,1,tidak kasar,
wkokwokwok tertawa kentot erick w fans u tod,1,tidak kasar,
wkowko inget komentar erick,1,tidak kasar,
wkw,1,tidak kasar,
wkwk,1,tidak kasar,
wkwk awto rame bangsat,1,kasar,bangsat
wkwk,1,tidak kasar,
wkwk komentar yg ngehate bangkamucoli brp kali wkwk,1,tidak kasar,
wkwk fans dh w lu,1,tidak kasar,
wkwk gitu emosi wkwk,1,tidak kasar,
wkwk jancok channel skwkkw,1,tidak kasar,
wkwk pinkguy jan paksain pls,1,tidak kasar,
wkwk cebonk,1,tidak kasar,
wkwk kocak lim,1,tidak kasar,
wkwk bang,1,tidak kasar,
wkwk tertawa,1,tidak kasar,
wkwk tertawa anjay,1,tidak kasar,
wkwk selesai ni video nang wkkwkw,1,tidak kasar,
wkwk sabskreber arap misqueen ken ngejatohin erick tertawa anjenkk ginii yaa todd orangg lemah repstronot ea,1,tidak kasar,
wkwk upload skrg,1,tidak kasar,
wkwk tertawa liat rick,1,tidak kasar,
wkwkekw ekspresilu,1,tidak kasar,
wkwkk,1,tidak kasar,
wkwkk tertawa nice erick skip iklan yg like,1,tidak kasar,
wkwkkw,1,tidak kasar,
wkwkkw ngilu ajg,1,tidak kasar,
wkwkkwkwkwk,1,tidak kasar,
wkwkw anja,1,tidak kasar,
wkwkw auto subscribe ni suka bahas benci comment mntp bang eri hati channel kesini krg toxic,1,tidak kasar,
wkwkw skip iklan biar duit kwkw,1,tidak kasar,
wkwkw benci temu fotbar dah bang,1,tidak kasar,
wkwkw kagak tau lucu si erick hatersnya,1,tidak kasar,
wkwkw ad benci becanda plus tular toxic ny erick,1,tidak kasar,
wkwkw yg komentar gituan bocah bng ngurusi kompor orang,1,tidak kasar,
wkwkwk,1,tidak kasar,
wkwkwk tencana tempur qory gore vs erickolim wkwk hibur,1,tidak kasar,
wkwkwk ni anak yg duit,1,tidak kasar,
wkwkwk ajg subscriber beli dimanaa beli rick,1,tidak kasar,
wkwkwk ngehate doang iri,1,tidak kasar,
wkwkwk komentar ngatain si erick ketemu foto fuck munafik haters,-1,kasar,munafik
wkwkwk ericko jawapan hatersa tonton gwndir ade ade rapyourbae,1,tidak kasar,
wkwkwk erickolim manusia udah kaya cat nipon paint tahan ujan badai salah buli erickolim wkwkwkwk erickolim,1,tidak kasar,
wkwkwk tampan,1,tidak kasar,
wkwkwk gaya ericko emang mantul gada obat,1,tidak kasar,
wkwkwk gila benci,-1,kasar,gila
wkwkwk subscribe rb bang,1,tidak kasar,
wkwkwk benci goblok smua,-1,kasar,goblok
wkwkwk i love the king soap mmmuuahhh u dengar lagu thailand wik wik wik,1,tidak kasar,
wkwkwk intro pake lagirs plus foto profil wa ericko lim,1,tidak kasar,
wkwkwk sebenernya gemar komentar cuman ken komennya masuk yt,1,tidak kasar,
wkwkwk lucu banget kintil demen toxic loo,1,tidak kasar,
wkwkwk lucu eaters cenel,1,tidak kasar,
wkwkwk lucu ya baca komenan haterskamubang bocah micin tulang bus dna,1,tidak kasar,
wkwkwk nfakak,1,tidak kasar,
wkwkwk tertawa,1,tidak kasar,
wkwkwk tertawa emang suka ngapain nonton benci duit didik tu anjing,-1,kasar,anjing
wkwkwk ngapain ngebully erick,1,tidak kasar,
wkwkwk kentot bang erick,1,tidak kasar,
wkwkwk sabar bang lucu,1,tidak kasar,
wkwkwk saveg,1,tidak kasar,
wkwkwk tertawa anjir,1,kasar,anjir
wkwkwk tertawa jirr,1,tidak kasar,
wkwkwk,1,tidak kasar,
wkwkwk wanjierr,1,tidak kasar,
wkwkwk yg dibacain komennya auto ganti nama yt,1,tidak kasar,
wkwkwke,1,tidak kasar,
wkwkwkk selow in bg,1,tidak kasar,
wkwkwkkw subscribe bilang beli buset hahaha,1,tidak kasar,
wkwkwkkw tertawa liat ny,1,tidak kasar,
wkwkwkkwkwwkwkwkwkwkwkkwkwkw,1,tidak kasar,
wkwkwkkwwk kentod,1,tidak kasar,
hahaha,1,tidak kasar,
hahaha anjing tertawa w ma komenan benci,1,kasar,anjing
hahaha berakkk kebon anjir,1,kasar,anjir
hahaha berakkk kebon anjir,1,kasar,anjir
hahaha bngst,1,tidak kasar,
hahaha benci,1,tidak kasar,
hahaha kamvret hahaha,1,tidak kasar,
hahaha tertawa kontol ol,1,kasar,kontol
hahaha sma broo,1,tidak kasar,
hahaha tertawa bocah jual agama,1,tidak kasar,
wkwkwkwk,1,tidak kasar,
wkwkwkwk iklan anjing but cool reading benci comments ick kemarin gbk andddd satpam nanya halo selamat siang acara yutuprewind yak ohh iya bro dah selesai bro acara lelah gbk acara ytrwn selesai janji rick ketemu luh nampar luh kenceng tenanga salam kenal bro erick ramadan see you motherfucker,-1,kasar,anjing
wkwkwkwk chanel ni ketawa o goblok,-1,kasar,goblok
wkwkwkwk haternya fans arab,1,tidak kasar,
wkwkwkwk i love you ericko lim,1,tidak kasar,
wkwkwkwk intro nyaa lerr ninggalin,1,tidak kasar,
wkwkwkwk kadal,1,tidak kasar,
wkwkwkwk suci penuh dosa,-1,kasar,dosa
wkwkwkwk kembang bakatkamuerik,1,tidak kasar,
wkwkwkwk salam gemar,1,tidak kasar,
wkwkwkwk tertawa,1,tidak kasar,
wkwkwkwk tertawa anjing,1,kasar,anjing
wkwkwkwk tertawa anjing,1,kasar,anjing
wkwkwkwkw ceramah mode on hahaha hate komentar semangat dah ye erick moga moga rezeki subscribers biar nyusul channel semangat,1,tidak kasar,
wkwkwkwkw benci lul,1,tidak kasar,
wkwkwkwkw kocak ajg,1,tidak kasar,
wkwkwkwkwk benci benci emang gitu diao ku subscribe jd tau haterss fans nonton tantang gitu toxic gilaa jd was pas dengar boskus,1,tidak kasar,
wkwkwkwkwksabar bansitu juha selubung benci orang sirik jhahaha rangin toxic kontol,-1,kasar,kontol
wkwkwkwkwkwk anak kontl like,1,tidak kasar,
wkwkwkwkwkwkwkwk tertawa bang baca comment haterkamugua,1,tidak kasar,
wkwkwkwwk toxicnya,1,tidak kasar,
wkwwk taikamumenghibar hibur gosah bullshit la memeq yt duit,-1,tidak kasar,
wkwwkkw tertawa,1,tidak kasar,
wkwwkkwwk erick erick stiap kontenkamupasti tertawa a human absurd wkwkwk,1,tidak kasar,
wkwwkw,1,tidak kasar,
wlwkwwk how to basic tanding bang ekwkwk,1,tidak kasar,
woe kau kepala zakar,1,tidak kasar,
woe bilang erickolim beli subscriber dukung,1,tidak kasar,
woe ericko lim udah kentot,1,tidak kasar,
woe video maem jembuts komenny blg juta botak,1,tidak kasar,
woi ajg reza arap gbk,1,tidak kasar,
woi ajing ngntot anjing ngenantang fens erickolim,1,kasar,anjing
woi anak anjing channel family friendly channel agama bilang sampah wkwkwkwkwk,-1,kasar,anjing sampah
woi anjgkamubilang pngn konten baca komentar heaters komentar gwa pngnkamubaca anjing wkwkwks,1,kasar,anjing
woi bang tidur malem,1,tidak kasar,
woi botak,1,tidak kasar,
woi botak njing,1,tidak kasar,
woi channel berdaedah nonton mancing kau,1,tidak kasar,
woi eric tod lim maen pulogadung,1,tidak kasar,
woi goblok pantau anjinkkk,-1,kasar,goblok
woi bain eric komentar hate biar biat konten,1,tidak kasar,
woi jwb,1,tidak kasar,
woi the jak bang sat,1,tidak kasar,
woi kontol liat gatot kaca nenen layla njieng,1,kasar,kontol
woi kontol videokamuitu iklan durasi iklan menit skipp kntll,1,kasar,kontol
woi kontol suka banget videokamuyg nonton iklankamuga skip anjenk tetep semangat njink video yg faedah i luv u bitch,-1,kasar,kontol
woi liat subscribe pewdiepie,1,tidak kasar,
woi qmak botak,1,tidak kasar,
woi era digital ngapain ngemanfaatin goblok emang ngajak youtube nyamperin langsung senior pikir goblok ig wa fb tweet mudah komunikasi anjing youtube udah lakuin lakuin goblok,-1,kasar,goblok goblok anjing goblok
woi tobat ericko lim takut dosa bilang chanel friendly family,-1,kasar,dosa
woii anjing kaget bngst pake headset,1,kasar,anjing
woii rickk nonton videokamu kga skip truss pass ending w tonton ampe abiss njing kaya bngst hahahaahahah,1,tidak kasar,
woiii collab arap,1,tidak kasar,
wokwokwowkok tertawa so hard funny jink haterskamukebanyakan omong suruh heatkamucoli jam smpe taun,1,tidak kasar,
wokwowkwok bangsat,1,kasar,bangsat
woooo emangkamudoang bang youtubers pantat tebal,1,kasar,pantat
wooui,1,tidak kasar,
work hard pray hard,1,tidak kasar,
wow,1,tidak kasar,
wow,1,tidak kasar,
wow intro siappp,1,tidak kasar,
wow laku wkwkwk,1,tidak kasar,
wow rb like,1,tidak kasar,
wow video faedah,1,tidak kasar,
wowkwowk makasih ama benci dah bantu konten u,1,tidak kasar,
wowowowo erikonolimitpros,1,tidak kasar,
wowww,1,tidak kasar,
wowwwwwwwwwwwwwwwwooooooooooooooowwwwww,1,tidak kasar,
woy,1,tidak kasar,
woy,1,tidak kasar,
woy asu babyk kentod baju assc gratis bayar bangsat,1,kasar,bangsat
woy baca comen bang tau duit sukur nambah subscribe,1,tidak kasar,
woy bales anak depok kuat dibales,1,tidak kasar,
woy bangsad nungguin gp anjing,1,kasar,anjing
woy erikolim muka kaya peler puki,1,tidak kasar,
woy first apresiasi,1,tidak kasar,
woy benci kasih tau ceramah tod ceramah pake bawa agama lg,1,tidak kasar,
woy benci anjing suka tonton mah nonton erick neng neng doang tau yg salah,-1,kasar,anjing
woy benci ngurusin hidup orang ajh urus ajh kelar jinggg,1,tidak kasar,
woy bully subscriber,1,tidak kasar,
woy dibully video hibur toxic kamera asli toxic toxic meghibur,1,tidak kasar,
woy janjikamumana tod mao botak juta subscribe kymackkk,1,tidak kasar,
woy motivasi cepetan apus tu canel,1,tidak kasar,
woy yg akun pb strike cn erikolim y bkn islam skali kali hina islam,-1,kasar,hina
woy mati,1,tidak kasar,
woy kintol memax injang bangsit jav hd porn masukin,1,tidak kasar,
woy kontol pake opening dora the explorer aa hiyyaaa,1,kasar,kontol
woykamuanjeng tuju subsccribe suka ama konten bangsat suka ngapaon tonton kentot bang ericko tuju ngehibur tod ngapainkamusubscribe gasuka ama konten bangsat kena trigger dah,-1,kasar,bangsat bangsat
woy dapet benci fens tunda dapet hah om rx,1,tidak kasar,
woy kentot botak baca komentar goblok,-1,kasar,goblok
woy njink mendingkamubikin konten minumin racun tikus,1,tidak kasar,
woy ngeledek org kebal,1,tidak kasar,
woy rick drama chanel ku lgii,1,tidak kasar,
woy tod juta subscribe dibotakin rambut,1,tidak kasar,
woy tombol sharenya bangsat,1,kasar,bangsat
woy toxixkamugg bang miss eric jaman old,1,tidak kasar,
woyy brooww chanell didik,1,tidak kasar,
woyy ktanya juta subscribe botak omdo,1,tidak kasar,
wtf,1,tidak kasar,
wtf moment,1,tidak kasar,
wtf my president,1,tidak kasar,
wuhhuu iklan twice nonton komenya,1,tidak kasar,
wwkwkkw orang indo goblok y tertawa,-1,kasar,goblok
wwkwkwkwk,1,tidak kasar,
x,1,tidak kasar,
x tonton like rbu gemar is the best,1,tidak kasar,
x tonton,1,tidak kasar,
x tonton comment,1,tidak kasar,
x tonton ngelike,1,tidak kasar,
x viewers k like a,1,tidak kasar,
y,1,tidak kasar,
y channel unfaedah subscriber laku gila erick,-1,kasar,gila
otak mah mi yg yg buruk,1,tidak kasar,
tuhan,1,tidak kasar,
penontonkamubocah ngentott gi tau yg slah yg,1,tidak kasar,
bahasa luarkamujangan bawa video youtube tonton anak dewasa makan orang neng samakamukarena bahasakamukalo video si hibur bahasa gapantes,1,tidak kasar,
serah bang erick repot ngurusin emangkamudibayar urusin benci,1,tidak kasar,
udah benci biarkamudpt uang,1,tidak kasar,
ya,1,tidak kasar,
yaa,1,tidak kasar,
yaa erick benci mu kaum kaum roket wakwkakw,1,tidak kasar,
yaa inti mah cuekin ae bang anggep fans tunda,1,tidak kasar,
yaa santai ngntt,1,tidak kasar,
yaelah,1,tidak kasar,
yaelah wkwkwk,1,tidak kasar,
yah ane tinggal,1,tidak kasar,
yah bangkamuberarti ngeyt cuman cari duit cari musuh,1,tidak kasar,
yah elah elu konten tepok jidat,1,tidak kasar,
yah gemar,1,tidak kasar,
yah seru coba liat poto ig roast balikk,1,tidak kasar,
yah detik g jdi subscribe ye wkkwkw,1,tidak kasar,
yah nama macan sosmed bang,1,tidak kasar,
yahaha konten liat tertawa anjing hahaha brader,1,kasar,anjing
yahh intro jess pake d,1,tidak kasar,
yahh pencet tombol skip,1,tidak kasar,
yahh ngelike sampah,-1,kasar,sampah
yak elah bang akmj promosi,1,tidak kasar,
yakinkamuanak ubah tanggal lahir email,1,tidak kasar,
yakk kangen intro jess no limit versi ericko lim jam,1,tidak kasar,
yakult,1,tidak kasar,
yakult bangsad,1,tidak kasar,
yall waste ur time to hated this man just shut the hell mouth,1,tidak kasar,
yamette senpai dame,1,tidak kasar,
heran kontenkamugaadak isi faedah yg subscribe yg subscribekamuotak udah miri kentot,-1,tidak kasar,
baca komentar like,1,tidak kasar,
sok taukamuotak teri,1,tidak kasar,
bilang beli subscribe mah otak rick,1,tidak kasar,
bilang heaters fuck heaters aaaaaaaaaaa,1,tidak kasar,
bilang video eric faedah lihat channel how to basic faedah manfaat,1,tidak kasar,
comen anak rapstronot nya deokamuv,1,tidak kasar,
tu orang maluuu,1,tidak kasar,
dislike benci,1,tidak kasar,
dislike benci v,1,tidak kasar,
skip iklan a benci,1,tidak kasar,
gasuka ama erick kontol gausa bacot dikommentkamucuma unsub lapor yg gitu miskin,-1,kasar,kontol bacot miskin
gin didik,1,tidak kasar,
bingung heterskamubilang konten videotidak faedah mutu ujung liat konten videolu,1,tidak kasar,
taukamuking of toxic yg harap cuy wkwk hibur goblok didik nonton mata najwa pantes sok an nyuruh ngedidik orang sndri didik iya masuk channel toxic nyari ilmu dsini goblok,-1,kasar,goblok goblok
udah boker like,-1,kasar,boker
benci komentar and like,1,tidak kasar,
kangen jamanya eric main pb,1,tidak kasar,
komentar dibacain ericko lim haru,1,tidak kasar,
like komentar doain masuk surga,1,tidak kasar,
main growtopia like coomenct,1,tidak kasar,
tertawa like wkwkwkwkwk,1,tidak kasar,
ngaku haterkamujuga kalikamuupload nonton lel,1,tidak kasar,
ngebully erickolim tonton setia drama korea sok sok pintar karya mah hha fakkk,1,tidak kasar,
nntn tidur baca comment like yaa,1,tidak kasar,
nonton chanel erico lim lapor toksic,1,tidak kasar,
nonton coli like,1,tidak kasar,
duit,1,tidak kasar,
pentingkamuberkarya bang i am soapersik,1,tidak kasar,
hate comment cmn autis wkwkwkwk,-1,kasar,autis
sabar,1,tidak kasar,
sabar erik semangat buay konten and prank cewekkamunangis,1,tidak kasar,
sabar kak erikolim,1,tidak kasar,
sabar senpaii,1,tidak kasar,
sabar,1,tidak kasar,
sabar uji tuhan maha esa,1,tidak kasar,
semangat bang moga jalankamuuntuk nghibur maju wkwkwkwkwwkwk erkolim is the best,1,tidak kasar,
tuju ericko collab qorygore like,1,tidak kasar,
tuju konten like,1,tidak kasar,
gemar like,1,tidak kasar,
suruh eric tutup chanel bodo nolak rejeki,1,tidak kasar,
yaudah tonton begoasw ane tertawa goblo liat yt hibur,1,tidak kasar,
yaudah hate komentar biar dibacain,1,tidak kasar,
yaudah yao yaaaers kenal,1,tidak kasar,
yaudahlah benci mayan bantuinkamudapet duit bosen non benci mulu by the way antonim benci yak,1,tidak kasar,
ye intro,1,tidak kasar,
ye opening nongol lg,1,tidak kasar,
ye vngsat,1,tidak kasar,
yea intro w tunggu tunggu,-1,kasar,tunggu tunggu
yeaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,tidak kasar,
yeah,1,tidak kasar,
yeah the classic ericko lim is back bitches,1,tidak kasar,
yeahh,1,tidak kasar,
yeahh that my king,1,tidak kasar,
yeahhhhh yeahhhhh yeahhhhhhhhh,1,tidak kasar,
yeay udah subscribe kali bang,1,tidak kasar,
yee tolo kalean udah tau faedah tonton,1,tidak kasar,
yeh ads ganggu cok but aprove hehe lord toxic is back by the way komentar itumah anak vexana,1,tidak kasar,
yeh goblok tompel ilang,1,kasar,goblok
yes erickontoru toxic yg sensor emang gausah dipikirin omong si botak seru coeg,1,tidak kasar,
yes dugem gratis,1,tidak kasar,
yess makeee introooo eriko no limit pros,1,tidak kasar,
yesss erikolim comeback,1,tidak kasar,
yey toxic,1,tidak kasar,
yg takutin pass pikir dewasa nyesell yalu nyesell bantu orng orng yg ngerusak bangsa canda tawa boss,1,tidak kasar,
yg baca subscribe mandul ajg,1,tidak kasar,
yg beli channel didik search deh channel how to basic nonton video didik,1,tidak kasar,
yg nyesek,1,tidak kasar,
yg d ajar erickolim,1,tidak kasar,
yg komentar emang anak paok,1,tidak kasar,
yg comment thumbnail govlok nambah benci nambah kaya orang ygkamuhaters,1,tidak kasar,
yg dislike benci,1,tidak kasar,
yg dislike kaum arap wkwkwk benci benci hujat hina sorry tumbang,-1,kasar,hina
yg fans benci yuk biar baca komennya o,1,tidak kasar,
yg gasuka yaa gausah tonton kontoll,1,tidak kasar,
yg hate ericko lim kaya mkin kenal kwkwwk,1,tidak kasar,
yg hate iq erick h yg hibur pas stress,1,tidak kasar,
yg hate komentar gda yg ngeh lakuin cm ngehibur lakuin yg lakuin walupun emg gila aga beda yg wkwkwk nonton seru ajasi,-1,kasar,gila
yg hate triggered,1,tidak kasar,
yg benci ericko lim just die motherfuckers fuck all the benci keep supporting erickolim,1,tidak kasar,
yg kuasa ye,1,tidak kasar,
yg comment,1,tidak kasar,
yg komentar gitu bocah bang yg otak,1,tidak kasar,
yg komentar bocil bocil,1,tidak kasar,
yg ku tunggu,-1,kasar,tunggu
yg like subscribe video doain keluarga haji,1,tidak kasar,
yg like komentar doain keluarga naji haji,1,tidak kasar,
yg like subscribe,1,tidak kasar,
yg ngehina si erick arti sirik gaji emak,1,tidak kasar,
yg ngeliat gambar qorygore video,1,tidak kasar,
yg nonton ni video,1,tidak kasar,
